"","item1","item2","item3","item4","support"
"1","buying=high","class=unacc","doors=2","lug_boot=big",0.0138888888888889
"2","buying=high","class=unacc","doors=2","lug_boot=med",0.0173611111111111
"3","buying=high","class=unacc","doors=2","lug_boot=small",0.0190972222222222
"4","buying=high","class=unacc","doors=2","maint=high",0.0115740740740741
"5","buying=high","class=unacc","doors=2","maint=low",0.0115740740740741
"6","buying=high","class=unacc","doors=2","maint=med",0.0115740740740741
"7","buying=high","class=unacc","doors=2","maint=vhigh",0.015625
"8","buying=high","class=unacc","doors=2","persons=2",0.0208333333333333
"9","buying=high","class=unacc","doors=2","persons=4",0.0138888888888889
"10","buying=high","class=unacc","doors=2","persons=more",0.015625
"11","buying=high","class=unacc","doors=2","safety=high",0.0121527777777778
"12","buying=high","class=unacc","doors=2","safety=low",0.0208333333333333
"13","buying=high","class=unacc","doors=2","safety=med",0.0173611111111111
"14","buying=high","class=unacc","lug_boot=big","maint=high",0.0115740740740741
"15","buying=high","class=unacc","lug_boot=big","maint=low",0.0115740740740741
"16","buying=high","class=unacc","lug_boot=big","maint=med",0.0115740740740741
"17","buying=high","class=unacc","lug_boot=big","maint=vhigh",0.0208333333333333
"18","buying=high","class=unacc","lug_boot=big","persons=2",0.0277777777777778
"19","buying=high","class=unacc","lug_boot=big","persons=4",0.0138888888888889
"20","buying=high","class=unacc","lug_boot=big","persons=more",0.0138888888888889
"21","buying=high","class=unacc","lug_boot=big","safety=high",0.0138888888888889
"22","buying=high","class=unacc","lug_boot=big","safety=low",0.0277777777777778
"23","buying=high","class=unacc","lug_boot=big","safety=med",0.0138888888888889
"24","buying=high","class=unacc","lug_boot=med","maint=high",0.0133101851851852
"25","buying=high","class=unacc","lug_boot=med","maint=low",0.0133101851851852
"26","buying=high","class=unacc","lug_boot=med","maint=med",0.0133101851851852
"27","buying=high","class=unacc","lug_boot=med","maint=vhigh",0.0208333333333333
"28","buying=high","class=unacc","lug_boot=med","persons=2",0.0277777777777778
"29","buying=high","class=unacc","lug_boot=med","persons=4",0.0173611111111111
"30","buying=high","class=unacc","lug_boot=med","persons=more",0.015625
"31","buying=high","class=unacc","lug_boot=med","safety=high",0.0138888888888889
"32","buying=high","class=unacc","lug_boot=med","safety=low",0.0277777777777778
"33","buying=high","class=unacc","lug_boot=med","safety=med",0.0190972222222222
"34","buying=high","class=unacc","lug_boot=small","maint=high",0.0167824074074074
"35","buying=high","class=unacc","lug_boot=small","maint=low",0.0167824074074074
"36","buying=high","class=unacc","lug_boot=small","maint=med",0.0167824074074074
"37","buying=high","class=unacc","lug_boot=small","maint=vhigh",0.0208333333333333
"38","buying=high","class=unacc","lug_boot=small","persons=2",0.0277777777777778
"39","buying=high","class=unacc","lug_boot=small","persons=4",0.0208333333333333
"40","buying=high","class=unacc","lug_boot=small","persons=more",0.0225694444444444
"41","buying=high","class=unacc","lug_boot=small","safety=high",0.015625
"42","buying=high","class=unacc","lug_boot=small","safety=low",0.0277777777777778
"43","buying=high","class=unacc","lug_boot=small","safety=med",0.0277777777777778
"44","buying=high","class=unacc","maint=vhigh","persons=2",0.0208333333333333
"45","buying=high","class=unacc","maint=vhigh","persons=4",0.0208333333333333
"46","buying=high","class=unacc","maint=vhigh","persons=more",0.0208333333333333
"47","buying=high","class=unacc","maint=vhigh","safety=high",0.0208333333333333
"48","buying=high","class=unacc","maint=vhigh","safety=low",0.0208333333333333
"49","buying=high","class=unacc","maint=vhigh","safety=med",0.0208333333333333
"50","buying=high","class=unacc","persons=2","safety=high",0.0277777777777778
"51","buying=high","class=unacc","persons=2","safety=low",0.0277777777777778
"52","buying=high","class=unacc","persons=2","safety=med",0.0277777777777778
"53","buying=high","class=unacc","persons=4","safety=high",0.00694444444444444
"54","buying=high","class=unacc","persons=4","safety=low",0.0277777777777778
"55","buying=high","class=unacc","persons=4","safety=med",0.0173611111111111
"56","buying=high","class=unacc","persons=more","safety=high",0.00868055555555556
"57","buying=high","class=unacc","persons=more","safety=low",0.0277777777777778
"58","buying=high","class=unacc","persons=more","safety=med",0.015625
"59","buying=low","class=unacc","lug_boot=small","maint=high",0.0127314814814815
"60","buying=low","class=unacc","lug_boot=small","maint=low",0.0127314814814815
"61","buying=low","class=unacc","lug_boot=small","maint=med",0.0127314814814815
"62","buying=low","class=unacc","lug_boot=small","maint=vhigh",0.0167824074074074
"63","buying=low","class=unacc","lug_boot=small","persons=2",0.0277777777777778
"64","buying=low","class=unacc","lug_boot=small","persons=4",0.0115740740740741
"65","buying=low","class=unacc","lug_boot=small","persons=more",0.015625
"66","buying=low","class=unacc","lug_boot=small","safety=high",0.0115740740740741
"67","buying=low","class=unacc","lug_boot=small","safety=low",0.0277777777777778
"68","buying=low","class=unacc","lug_boot=small","safety=med",0.015625
"69","buying=low","class=unacc","persons=2","safety=high",0.0277777777777778
"70","buying=low","class=unacc","persons=2","safety=low",0.0277777777777778
"71","buying=low","class=unacc","persons=2","safety=med",0.0277777777777778
"72","buying=med","class=unacc","lug_boot=small","maint=high",0.0167824074074074
"73","buying=med","class=unacc","lug_boot=small","maint=low",0.0127314814814815
"74","buying=med","class=unacc","lug_boot=small","maint=med",0.0127314814814815
"75","buying=med","class=unacc","lug_boot=small","maint=vhigh",0.0167824074074074
"76","buying=med","class=unacc","lug_boot=small","persons=2",0.0277777777777778
"77","buying=med","class=unacc","lug_boot=small","persons=4",0.0138888888888889
"78","buying=med","class=unacc","lug_boot=small","persons=more",0.0173611111111111
"79","buying=med","class=unacc","lug_boot=small","safety=high",0.0115740740740741
"80","buying=med","class=unacc","lug_boot=small","safety=low",0.0277777777777778
"81","buying=med","class=unacc","lug_boot=small","safety=med",0.0196759259259259
"82","buying=med","class=unacc","persons=2","safety=high",0.0277777777777778
"83","buying=med","class=unacc","persons=2","safety=low",0.0277777777777778
"84","buying=med","class=unacc","persons=2","safety=med",0.0277777777777778
"85","buying=vhigh","class=unacc","doors=2","lug_boot=big",0.0162037037037037
"86","buying=vhigh","class=unacc","doors=2","lug_boot=med",0.0185185185185185
"87","buying=vhigh","class=unacc","doors=2","lug_boot=small",0.0196759259259259
"88","buying=vhigh","class=unacc","doors=2","maint=high",0.015625
"89","buying=vhigh","class=unacc","doors=2","maint=low",0.0115740740740741
"90","buying=vhigh","class=unacc","doors=2","maint=med",0.0115740740740741
"91","buying=vhigh","class=unacc","doors=2","maint=vhigh",0.015625
"92","buying=vhigh","class=unacc","doors=2","persons=2",0.0208333333333333
"93","buying=vhigh","class=unacc","doors=2","persons=4",0.0162037037037037
