"","item1","support"
"1","buying=high",0.25
"2","buying=low",0.25
"3","buying=med",0.25
"4","buying=vhigh",0.25
"5","class=acc",0.222222222222222
"6","class=good",0.0399305555555556
"7","class=unacc",0.700231481481482
"8","class=vgood",0.0376157407407407
"9","doors=2",0.25
"10","doors=3",0.25
"11","doors=4",0.25
"12","doors=5more",0.25
"13","lug_boot=big",0.333333333333333
"14","lug_boot=med",0.333333333333333
"15","lug_boot=small",0.333333333333333
"16","maint=high",0.25
"17","maint=low",0.25
"18","maint=med",0.25
"19","maint=vhigh",0.25
"20","persons=2",0.333333333333333
"21","persons=4",0.333333333333333
"22","persons=more",0.333333333333333
"23","safety=high",0.333333333333333
"24","safety=low",0.333333333333333
"25","safety=med",0.333333333333333
