"","item1","item2","support"
"1","buying=high","class=acc",0.0625
"2","buying=high","class=unacc",0.1875
"3","buying=high","doors=2",0.0625
"4","buying=high","doors=3",0.0625
"5","buying=high","doors=4",0.0625
"6","buying=high","doors=5more",0.0625
"7","buying=high","lug_boot=big",0.0833333333333333
"8","buying=high","lug_boot=med",0.0833333333333333
"9","buying=high","lug_boot=small",0.0833333333333333
"10","buying=high","maint=high",0.0625
"11","buying=high","maint=low",0.0625
"12","buying=high","maint=med",0.0625
"13","buying=high","maint=vhigh",0.0625
"14","buying=high","persons=2",0.0833333333333333
"15","buying=high","persons=4",0.0833333333333333
"16","buying=high","persons=more",0.0833333333333333
"17","buying=high","safety=high",0.0833333333333333
"18","buying=high","safety=low",0.0833333333333333
"19","buying=high","safety=med",0.0833333333333333
"20","buying=low","class=acc",0.0515046296296296
"21","buying=low","class=unacc",0.149305555555556
"22","buying=low","doors=2",0.0625
"23","buying=low","doors=3",0.0625
"24","buying=low","doors=4",0.0625
"25","buying=low","doors=5more",0.0625
"26","buying=low","lug_boot=big",0.0833333333333333
"27","buying=low","lug_boot=med",0.0833333333333333
"28","buying=low","lug_boot=small",0.0833333333333333
"29","buying=low","maint=high",0.0625
"30","buying=low","maint=low",0.0625
"31","buying=low","maint=med",0.0625
"32","buying=low","maint=vhigh",0.0625
"33","buying=low","persons=2",0.0833333333333333
"34","buying=low","persons=4",0.0833333333333333
"35","buying=low","persons=more",0.0833333333333333
"36","buying=low","safety=high",0.0833333333333333
"37","buying=low","safety=low",0.0833333333333333
"38","buying=low","safety=med",0.0833333333333333
"39","buying=med","class=acc",0.0665509259259259
"40","buying=med","class=unacc",0.155092592592593
"41","buying=med","doors=2",0.0625
"42","buying=med","doors=3",0.0625
"43","buying=med","doors=4",0.0625
"44","buying=med","doors=5more",0.0625
"45","buying=med","lug_boot=big",0.0833333333333333
"46","buying=med","lug_boot=med",0.0833333333333333
"47","buying=med","lug_boot=small",0.0833333333333333
"48","buying=med","maint=high",0.0625
"49","buying=med","maint=low",0.0625
"50","buying=med","maint=med",0.0625
"51","buying=med","maint=vhigh",0.0625
"52","buying=med","persons=2",0.0833333333333333
"53","buying=med","persons=4",0.0833333333333333
"54","buying=med","persons=more",0.0833333333333333
"55","buying=med","safety=high",0.0833333333333333
"56","buying=med","safety=low",0.0833333333333333
"57","buying=med","safety=med",0.0833333333333333
"58","buying=vhigh","class=acc",0.0416666666666667
"59","buying=vhigh","class=unacc",0.208333333333333
"60","buying=vhigh","doors=2",0.0625
"61","buying=vhigh","doors=3",0.0625
"62","buying=vhigh","doors=4",0.0625
"63","buying=vhigh","doors=5more",0.0625
"64","buying=vhigh","lug_boot=big",0.0833333333333333
"65","buying=vhigh","lug_boot=med",0.0833333333333333
"66","buying=vhigh","lug_boot=small",0.0833333333333333
"67","buying=vhigh","maint=high",0.0625
"68","buying=vhigh","maint=low",0.0625
"69","buying=vhigh","maint=med",0.0625
"70","buying=vhigh","maint=vhigh",0.0625
"71","buying=vhigh","persons=2",0.0833333333333333
"72","buying=vhigh","persons=4",0.0833333333333333
"73","buying=vhigh","persons=more",0.0833333333333333
"74","buying=vhigh","safety=high",0.0833333333333333
"75","buying=vhigh","safety=low",0.0833333333333333
"76","buying=vhigh","safety=med",0.0833333333333333
"77","class=acc","doors=2",0.046875
"78","class=acc","doors=3",0.0572916666666667
"79","class=acc","doors=4",0.0590277777777778
"80","class=acc","doors=5more",0.0590277777777778
"81","class=acc","lug_boot=big",0.0833333333333333
"82","class=acc","lug_boot=med",0.078125
"83","class=acc","lug_boot=small",0.0607638888888889
"84","class=acc","maint=high",0.0607638888888889
"85","class=acc","maint=low",0.0532407407407407
"86","class=acc","maint=med",0.0665509259259259
"87","class=acc","maint=vhigh",0.0416666666666667
"88","class=acc","persons=2",0
"89","class=acc","persons=4",0.114583333333333
"90","class=acc","persons=more",0.107638888888889
"91","class=acc","safety=high",0.118055555555556
"92","class=acc","safety=low",0
"93","class=acc","safety=med",0.104166666666667
"94","class=unacc","doors=2",0.188657407407407
"95","class=unacc","doors=3",0.173611111111111
"96","class=unacc","doors=4",0.168981481481481
"97","class=unacc","doors=5more",0.168981481481481
"98","class=unacc","lug_boot=big",0.212962962962963
"99","class=unacc","lug_boot=med",0.226851851851852
"100","class=unacc","lug_boot=small",0.260416666666667
"101","class=unacc","maint=high",0.181712962962963
"102","class=unacc","maint=low",0.155092592592593
"103","class=unacc","maint=med",0.155092592592593
"104","class=unacc","maint=vhigh",0.208333333333333
"105","class=unacc","persons=2",0.333333333333333
"106","class=unacc","persons=4",0.180555555555556
"107","class=unacc","persons=more",0.186342592592593
"108","class=unacc","safety=high",0.160300925925926
"109","class=unacc","safety=low",0.333333333333333
"110","class=unacc","safety=med",0.206597222222222
"111","doors=2","lug_boot=big",0.0833333333333333
"112","doors=2","lug_boot=med",0.0833333333333333
"113","doors=2","lug_boot=small",0.0833333333333333
"114","doors=2","maint=high",0.0625
"115","doors=2","maint=low",0.0625
"116","doors=2","maint=med",0.0625
"117","doors=2","maint=vhigh",0.0625
"118","doors=2","persons=2",0.0833333333333333
"119","doors=2","persons=4",0.0833333333333333
"120","doors=2","persons=more",0.0833333333333333
"121","doors=2","safety=high",0.0833333333333333
"122","doors=2","safety=low",0.0833333333333333
"123","doors=2","safety=med",0.0833333333333333
"124","doors=3","lug_boot=big",0.0833333333333333
"125","doors=3","lug_boot=med",0.0833333333333333
"126","doors=3","lug_boot=small",0.0833333333333333
"127","doors=3","maint=high",0.0625
"128","doors=3","maint=low",0.0625
"129","doors=3","maint=med",0.0625
"130","doors=3","maint=vhigh",0.0625
"131","doors=3","persons=2",0.0833333333333333
"132","doors=3","persons=4",0.0833333333333333
"133","doors=3","persons=more",0.0833333333333333
"134","doors=3","safety=high",0.0833333333333333
"135","doors=3","safety=low",0.0833333333333333
"136","doors=3","safety=med",0.0833333333333333
"137","doors=4","lug_boot=big",0.0833333333333333
"138","doors=4","lug_boot=med",0.0833333333333333
"139","doors=4","lug_boot=small",0.0833333333333333
"140","doors=4","maint=high",0.0625
"141","doors=4","maint=low",0.0625
"142","doors=4","maint=med",0.0625
"143","doors=4","maint=vhigh",0.0625
"144","doors=4","persons=2",0.0833333333333333
"145","doors=4","persons=4",0.0833333333333333
"146","doors=4","persons=more",0.0833333333333333
"147","doors=4","safety=high",0.0833333333333333
"148","doors=4","safety=low",0.0833333333333333
"149","doors=4","safety=med",0.0833333333333333
"150","doors=5more","lug_boot=big",0.0833333333333333
"151","doors=5more","lug_boot=med",0.0833333333333333
"152","doors=5more","lug_boot=small",0.0833333333333333
"153","doors=5more","maint=high",0.0625
"154","doors=5more","maint=low",0.0625
"155","doors=5more","maint=med",0.0625
"156","doors=5more","maint=vhigh",0.0625
"157","doors=5more","persons=2",0.0833333333333333
"158","doors=5more","persons=4",0.0833333333333333
"159","doors=5more","persons=more",0.0833333333333333
"160","doors=5more","safety=high",0.0833333333333333
"161","doors=5more","safety=low",0.0833333333333333
"162","doors=5more","safety=med",0.0833333333333333
"163","lug_boot=big","maint=high",0.0833333333333333
"164","lug_boot=big","maint=low",0.0833333333333333
"165","lug_boot=big","maint=med",0.0833333333333333
"166","lug_boot=big","maint=vhigh",0.0833333333333333
"167","lug_boot=big","persons=2",0.111111111111111
"168","lug_boot=big","persons=4",0.111111111111111
"169","lug_boot=big","persons=more",0.111111111111111
"170","lug_boot=big","safety=high",0.111111111111111
"171","lug_boot=big","safety=low",0.111111111111111
"172","lug_boot=big","safety=med",0.111111111111111
"173","lug_boot=med","maint=high",0.0833333333333333
"174","lug_boot=med","maint=low",0.0833333333333333
"175","lug_boot=med","maint=med",0.0833333333333333
"176","lug_boot=med","maint=vhigh",0.0833333333333333
"177","lug_boot=med","persons=2",0.111111111111111
"178","lug_boot=med","persons=4",0.111111111111111
"179","lug_boot=med","persons=more",0.111111111111111
"180","lug_boot=med","safety=high",0.111111111111111
"181","lug_boot=med","safety=low",0.111111111111111
