"","item1","item2","support"
"2","buying=high","class=acc",0.0625
"21","buying=high","class=unacc",0.1875
"3","buying=high","doors=2",0.0625
"4","buying=high","doors=3",0.0625
"5","buying=high","doors=4",0.0625
"6","buying=high","doors=5more",0.0625
"7","buying=high","lug_boot=big",0.0833333333333333
"8","buying=high","lug_boot=med",0.0833333333333333
"9","buying=high","lug_boot=small",0.0833333333333333
"10","buying=high","maint=high",0.0625
"11","buying=high","maint=low",0.0625
"12","buying=high","maint=med",0.0625
"15","buying=high","persons=4",0.0833333333333333
"16","buying=high","persons=more",0.0833333333333333
"17","buying=high","safety=high",0.0833333333333333
"19","buying=high","safety=med",0.0833333333333333
"20","buying=low","class=acc",0.0515046296296296
"211","buying=low","class=unacc",0.149305555555556
"22","buying=low","doors=2",0.0625
"23","buying=low","doors=3",0.0625
"24","buying=low","doors=4",0.0625
"25","buying=low","doors=5more",0.0625
"26","buying=low","lug_boot=big",0.0833333333333333
"27","buying=low","lug_boot=med",0.0833333333333333
"28","buying=low","lug_boot=small",0.0833333333333333
"29","buying=low","maint=high",0.0625
"30","buying=low","maint=low",0.0625
"31","buying=low","maint=med",0.0625
"32","buying=low","maint=vhigh",0.0625
"34","buying=low","persons=4",0.0833333333333333
"35","buying=low","persons=more",0.0833333333333333
"36","buying=low","safety=high",0.0833333333333333
"38","buying=low","safety=med",0.0833333333333333
"39","buying=med","class=acc",0.0665509259259259
"40","buying=med","class=unacc",0.155092592592593
"41","buying=med","doors=2",0.0625
"42","buying=med","doors=3",0.0625
"43","buying=med","doors=4",0.0625
"44","buying=med","doors=5more",0.0625
"45","buying=med","lug_boot=big",0.0833333333333333
"46","buying=med","lug_boot=med",0.0833333333333333
"47","buying=med","lug_boot=small",0.0833333333333333
"48","buying=med","maint=high",0.0625
"49","buying=med","maint=low",0.0625
"50","buying=med","maint=med",0.0625
"51","buying=med","maint=vhigh",0.0625
"53","buying=med","persons=4",0.0833333333333333
"54","buying=med","persons=more",0.0833333333333333
"55","buying=med","safety=high",0.0833333333333333
"57","buying=med","safety=med",0.0833333333333333
"58","buying=vhigh","class=unacc",0.208333333333333
"59","buying=vhigh","doors=2",0.0625
"60","buying=vhigh","doors=3",0.0625
"61","buying=vhigh","doors=4",0.0625
"62","buying=vhigh","doors=5more",0.0625
"63","buying=vhigh","lug_boot=big",0.0833333333333333
"64","buying=vhigh","lug_boot=med",0.0833333333333333
"65","buying=vhigh","lug_boot=small",0.0833333333333333
