"","item1","support"
"1","buying=high",0.25
"2","buying=low",0.25
"3","buying=med",0.25
"4","buying=vhigh",0.25
"5","class=acc",0.222222222222222
"6","class=unacc",0.700231481481482
"7","doors=2",0.25
"8","doors=3",0.25
"9","doors=4",0.25
"10","doors=5more",0.25
"11","lug_boot=big",0.333333333333333
"12","lug_boot=med",0.333333333333333
"13","lug_boot=small",0.333333333333333
"14","maint=high",0.25
"15","maint=low",0.25
"16","maint=med",0.25
"17","maint=vhigh",0.25
"18","persons=2",0.333333333333333
"19","persons=4",0.333333333333333
"20","persons=more",0.333333333333333
"21","safety=high",0.333333333333333
"22","safety=low",0.333333333333333
"23","safety=med",0.333333333333333
