"","rules","support","confidence"
"1","persons=2 => class=unacc","0.333333333333333","1"
"2","safety=low => class=unacc","0.333333333333333","1"
"3","lug_boot=small => class=unacc","0.260416666666667","0.78125"
"4","buying=vhigh => class=unacc","0.208333333333333","0.833333333333333"
"5","maint=vhigh => class=unacc","0.208333333333333","0.833333333333333"
"6","doors=2 => class=unacc","0.188657407407407","0.75462962962963"
"7","buying=high => class=unacc","0.1875","0.75"
"8","maint=high => class=unacc","0.181712962962963","0.726851851851852"
"9","lug_boot=big,persons=2 => class=unacc","0.111111111111111","1"
"10","lug_boot=big,safety=low => class=unacc","0.111111111111111","1"
"11","lug_boot=med,persons=2 => class=unacc","0.111111111111111","1"
"12","lug_boot=med,safety=low => class=unacc","0.111111111111111","1"
"13","lug_boot=small,persons=2 => class=unacc","0.111111111111111","1"
"14","lug_boot=small,safety=low => class=unacc","0.111111111111111","1"
"15","persons=2,safety=high => class=unacc","0.111111111111111","1"
"16","persons=2,safety=low => class=unacc","0.111111111111111","1"
"17","persons=2,safety=med => class=unacc","0.111111111111111","1"
"18","persons=4,safety=low => class=unacc","0.111111111111111","1"
"19","persons=more,safety=low => class=unacc","0.111111111111111","1"
