"","item1","item2","item3","item4","support"
"1","buying=high","class=unacc","doors=2","lug_boot=big",0.0138888888888889
"2","buying=high","class=unacc","doors=2","lug_boot=med",0.0173611111111111
"3","buying=high","class=unacc","doors=2","lug_boot=small",0.0190972222222222
"4","buying=high","class=unacc","doors=2","maint=vhigh",0.015625
"5","buying=high","class=unacc","doors=2","persons=2",0.0208333333333333
"6","buying=high","class=unacc","doors=2","persons=4",0.0138888888888889
"7","buying=high","class=unacc","doors=2","persons=more",0.015625
"8","buying=high","class=unacc","doors=2","safety=low",0.0208333333333333
"9","buying=high","class=unacc","doors=2","safety=med",0.0173611111111111
"10","buying=high","class=unacc","lug_boot=big","maint=vhigh",0.0208333333333333
"11","buying=high","class=unacc","lug_boot=big","persons=2",0.0277777777777778
"12","buying=high","class=unacc","lug_boot=big","persons=4",0.0138888888888889
"13","buying=high","class=unacc","lug_boot=big","persons=more",0.0138888888888889
"14","buying=high","class=unacc","lug_boot=big","safety=low",0.0277777777777778
"15","buying=high","class=unacc","lug_boot=big","safety=med",0.0138888888888889
"16","buying=high","class=unacc","lug_boot=med","maint=vhigh",0.0208333333333333
"17","buying=high","class=unacc","lug_boot=med","persons=2",0.0277777777777778
"18","buying=high","class=unacc","lug_boot=med","persons=4",0.0173611111111111
"19","buying=high","class=unacc","lug_boot=med","persons=more",0.015625
"20","buying=high","class=unacc","lug_boot=med","safety=low",0.0277777777777778
"21","buying=high","class=unacc","lug_boot=med","safety=med",0.0190972222222222
"22","buying=high","class=unacc","lug_boot=small","maint=vhigh",0.0208333333333333
"23","buying=high","class=unacc","lug_boot=small","persons=2",0.0277777777777778
"24","buying=high","class=unacc","lug_boot=small","persons=4",0.0208333333333333
"25","buying=high","class=unacc","lug_boot=small","persons=more",0.0225694444444444
"26","buying=high","class=unacc","lug_boot=small","safety=low",0.0277777777777778
"27","buying=high","class=unacc","lug_boot=small","safety=med",0.0277777777777778
"28","buying=high","class=unacc","maint=vhigh","persons=2",0.0208333333333333
"29","buying=high","class=unacc","maint=vhigh","persons=4",0.0208333333333333
"30","buying=high","class=unacc","maint=vhigh","persons=more",0.0208333333333333
"31","buying=high","class=unacc","maint=vhigh","safety=low",0.0208333333333333
"32","buying=high","class=unacc","maint=vhigh","safety=med",0.0208333333333333
"33","buying=high","class=unacc","persons=2","safety=low",0.0277777777777778
"34","buying=high","class=unacc","persons=2","safety=med",0.0277777777777778
"35","buying=high","class=unacc","persons=4","safety=low",0.0277777777777778
"36","buying=high","class=unacc","persons=4","safety=med",0.0173611111111111
"37","buying=high","class=unacc","persons=more","safety=low",0.0277777777777778
"38","buying=high","class=unacc","persons=more","safety=med",0.015625
"39","buying=low","class=unacc","lug_boot=small","persons=2",0.0277777777777778
"40","buying=low","class=unacc","lug_boot=small","safety=low",0.0277777777777778
"41","buying=low","class=unacc","persons=2","safety=low",0.0277777777777778
"42","buying=med","class=unacc","lug_boot=small","persons=2",0.0277777777777778
"43","buying=med","class=unacc","lug_boot=small","safety=low",0.0277777777777778
"44","buying=med","class=unacc","persons=2","safety=low",0.0277777777777778
"45","buying=vhigh","class=unacc","doors=2","lug_boot=big",0.0162037037037037
"46","buying=vhigh","class=unacc","doors=2","lug_boot=med",0.0185185185185185
"47","buying=vhigh","class=unacc","doors=2","lug_boot=small",0.0196759259259259
"48","buying=vhigh","class=unacc","doors=2","maint=high",0.015625
"49","buying=vhigh","class=unacc","doors=2","maint=vhigh",0.015625
"50","buying=vhigh","class=unacc","doors=2","persons=2",0.0208333333333333
"51","buying=vhigh","class=unacc","doors=2","persons=4",0.0162037037037037
"52","buying=vhigh","class=unacc","doors=2","persons=more",0.0173611111111111
"53","buying=vhigh","class=unacc","doors=2","safety=high",0.0150462962962963
"54","buying=vhigh","class=unacc","doors=2","safety=low",0.0208333333333333
"55","buying=vhigh","class=unacc","doors=2","safety=med",0.0185185185185185
"56","buying=vhigh","class=unacc","doors=3","lug_boot=big",0.0162037037037037
"57","buying=vhigh","class=unacc","doors=3","lug_boot=med",0.0173611111111111
"58","buying=vhigh","class=unacc","doors=3","lug_boot=small",0.0185185185185185
"59","buying=vhigh","class=unacc","doors=3","maint=high",0.015625
"60","buying=vhigh","class=unacc","doors=3","maint=vhigh",0.015625
"61","buying=vhigh","class=unacc","doors=3","persons=2",0.0208333333333333
"62","buying=vhigh","class=unacc","doors=3","persons=4",0.0162037037037037
"63","buying=vhigh","class=unacc","doors=3","persons=more",0.0150462962962963
"64","buying=vhigh","class=unacc","doors=3","safety=high",0.0138888888888889
"65","buying=vhigh","class=unacc","doors=3","safety=low",0.0208333333333333
"66","buying=vhigh","class=unacc","doors=3","safety=med",0.0173611111111111
"67","buying=vhigh","class=unacc","doors=4","lug_boot=big",0.0162037037037037
"68","buying=vhigh","class=unacc","doors=4","lug_boot=med",0.0162037037037037
"69","buying=vhigh","class=unacc","doors=4","lug_boot=small",0.0185185185185185
"70","buying=vhigh","class=unacc","doors=4","maint=high",0.015625
"71","buying=vhigh","class=unacc","doors=4","maint=vhigh",0.015625
"72","buying=vhigh","class=unacc","doors=4","persons=2",0.0208333333333333
"73","buying=vhigh","class=unacc","doors=4","persons=4",0.0150462962962963
"74","buying=vhigh","class=unacc","doors=4","persons=more",0.0150462962962963
"75","buying=vhigh","class=unacc","doors=4","safety=high",0.0138888888888889
"76","buying=vhigh","class=unacc","doors=4","safety=low",0.0208333333333333
"77","buying=vhigh","class=unacc","doors=4","safety=med",0.0162037037037037
"78","buying=vhigh","class=unacc","doors=5more","lug_boot=big",0.0162037037037037
"79","buying=vhigh","class=unacc","doors=5more","lug_boot=med",0.0162037037037037
"80","buying=vhigh","class=unacc","doors=5more","lug_boot=small",0.0185185185185185
"81","buying=vhigh","class=unacc","doors=5more","maint=high",0.015625
"82","buying=vhigh","class=unacc","doors=5more","maint=vhigh",0.015625
"83","buying=vhigh","class=unacc","doors=5more","persons=2",0.0208333333333333
"84","buying=vhigh","class=unacc","doors=5more","persons=4",0.0150462962962963
"85","buying=vhigh","class=unacc","doors=5more","persons=more",0.0150462962962963
"86","buying=vhigh","class=unacc","doors=5more","safety=high",0.0138888888888889
"87","buying=vhigh","class=unacc","doors=5more","safety=low",0.0208333333333333
"88","buying=vhigh","class=unacc","doors=5more","safety=med",0.0162037037037037
"89","buying=vhigh","class=unacc","lug_boot=big","maint=high",0.0208333333333333
"90","buying=vhigh","class=unacc","lug_boot=big","maint=vhigh",0.0208333333333333
"91","buying=vhigh","class=unacc","lug_boot=big","persons=2",0.0277777777777778
