"","item1","item2","item3","support"
"1","class=unacc","doors=2","lug_boot=big",0.0532407407407407
"2","class=unacc","doors=2","lug_boot=med",0.0625
"3","class=unacc","doors=2","lug_boot=small",0.0729166666666667
"4","class=unacc","doors=2","maint=high",0.0486111111111111
"5","class=unacc","doors=2","maint=low",0.0428240740740741
"6","class=unacc","doors=2","maint=med",0.0428240740740741
"7","class=unacc","doors=2","maint=vhigh",0.0543981481481481
"8","class=unacc","doors=2","persons=2",0.0833333333333333
"9","class=unacc","doors=2","persons=4",0.0474537037037037
"10","class=unacc","doors=2","persons=more",0.0578703703703704
"11","class=unacc","doors=2","safety=high",0.0457175925925926
"12","class=unacc","doors=2","safety=low",0.0833333333333333
"13","class=unacc","doors=2","safety=med",0.0596064814814815
"14","class=unacc","doors=3","lug_boot=big",0.0532407407407407
"15","class=unacc","doors=3","lug_boot=med",0.0578703703703704
"16","class=unacc","doors=3","lug_boot=small",0.0625
"17","class=unacc","doors=3","maint=high",0.0451388888888889
"18","class=unacc","doors=3","maint=low",0.0381944444444444
"19","class=unacc","doors=3","maint=med",0.0381944444444444
"20","class=unacc","doors=3","maint=vhigh",0.0520833333333333
"21","class=unacc","doors=3","persons=2",0.0833333333333333
"22","class=unacc","doors=3","persons=4",0.0474537037037037
"23","class=unacc","doors=3","persons=more",0.0428240740740741
"24","class=unacc","doors=3","safety=high",0.0381944444444444
"25","class=unacc","doors=3","safety=low",0.0833333333333333
"26","class=unacc","doors=3","safety=med",0.0520833333333333
"27","class=unacc","doors=4","lug_boot=big",0.0532407407407407
"28","class=unacc","doors=4","lug_boot=med",0.0532407407407407
"29","class=unacc","doors=4","lug_boot=small",0.0625
"30","class=unacc","doors=4","maint=high",0.0439814814814815
"31","class=unacc","doors=4","maint=low",0.037037037037037
"32","class=unacc","doors=4","maint=med",0.037037037037037
"33","class=unacc","doors=4","maint=vhigh",0.0509259259259259
"34","class=unacc","doors=4","persons=2",0.0833333333333333
"35","class=unacc","doors=4","persons=4",0.0428240740740741
"36","class=unacc","doors=4","persons=more",0.0428240740740741
"37","class=unacc","doors=4","safety=high",0.0381944444444444
"38","class=unacc","doors=4","safety=low",0.0833333333333333
"39","class=unacc","doors=4","safety=med",0.0474537037037037
"40","class=unacc","doors=5more","lug_boot=big",0.0532407407407407
"41","class=unacc","doors=5more","lug_boot=med",0.0532407407407407
"42","class=unacc","doors=5more","lug_boot=small",0.0625
"43","class=unacc","doors=5more","maint=high",0.0439814814814815
"44","class=unacc","doors=5more","maint=low",0.037037037037037
"45","class=unacc","doors=5more","maint=med",0.037037037037037
"46","class=unacc","doors=5more","maint=vhigh",0.0509259259259259
"47","class=unacc","doors=5more","persons=2",0.0833333333333333
"48","class=unacc","doors=5more","persons=4",0.0428240740740741
"49","class=unacc","doors=5more","persons=more",0.0428240740740741
"50","class=unacc","doors=5more","safety=high",0.0381944444444444
"51","class=unacc","doors=5more","safety=low",0.0833333333333333
"52","class=unacc","doors=5more","safety=med",0.0474537037037037
"53","class=unacc","lug_boot=big","maint=high",0.0555555555555556
"54","class=unacc","lug_boot=big","maint=low",0.0462962962962963
"55","class=unacc","lug_boot=big","maint=med",0.0462962962962963
"56","class=unacc","lug_boot=big","maint=vhigh",0.0648148148148148
"57","class=unacc","lug_boot=big","persons=2",0.111111111111111
"58","class=unacc","lug_boot=big","persons=4",0.0509259259259259
"59","class=unacc","lug_boot=big","persons=more",0.0509259259259259
"60","class=unacc","lug_boot=big","safety=high",0.0509259259259259
"61","class=unacc","lug_boot=big","safety=low",0.111111111111111
"62","class=unacc","lug_boot=big","safety=med",0.0509259259259259
"63","class=unacc","lug_boot=med","maint=high",0.0590277777777778
