"","item1","item2","support"
"2","buying=high","class=unacc",0.1875
"21","buying=low","class=unacc",0.149305555555556
"3","buying=med","class=unacc",0.155092592592593
"4","buying=vhigh","class=unacc",0.208333333333333
"5","class=acc","persons=4",0.114583333333333
"6","class=acc","persons=more",0.107638888888889
"7","class=acc","safety=high",0.118055555555556
"8","class=acc","safety=med",0.104166666666667
"9","class=unacc","doors=2",0.188657407407407
"10","class=unacc","doors=3",0.173611111111111
"11","class=unacc","doors=4",0.168981481481481
"12","class=unacc","doors=5more",0.168981481481481
"13","class=unacc","lug_boot=big",0.212962962962963
"14","class=unacc","lug_boot=med",0.226851851851852
"15","class=unacc","lug_boot=small",0.260416666666667
"16","class=unacc","maint=high",0.181712962962963
"17","class=unacc","maint=low",0.155092592592593
"18","class=unacc","maint=med",0.155092592592593
"19","class=unacc","maint=vhigh",0.208333333333333
"20","class=unacc","persons=2",0.333333333333333
"211","class=unacc","persons=4",0.180555555555556
"22","class=unacc","persons=more",0.186342592592593
"23","class=unacc","safety=high",0.160300925925926
"24","class=unacc","safety=low",0.333333333333333
"25","class=unacc","safety=med",0.206597222222222
"27","lug_boot=big","persons=4",0.111111111111111
"28","lug_boot=big","persons=more",0.111111111111111
"29","lug_boot=big","safety=high",0.111111111111111
"31","lug_boot=big","safety=med",0.111111111111111
"33","lug_boot=med","persons=4",0.111111111111111
"34","lug_boot=med","persons=more",0.111111111111111
"35","lug_boot=med","safety=high",0.111111111111111
"37","lug_boot=med","safety=med",0.111111111111111
"39","lug_boot=small","persons=4",0.111111111111111
"40","lug_boot=small","persons=more",0.111111111111111
"41","lug_boot=small","safety=high",0.111111111111111
"43","lug_boot=small","safety=med",0.111111111111111
"47","persons=4","safety=high",0.111111111111111
"49","persons=4","safety=med",0.111111111111111
"50","persons=more","safety=high",0.111111111111111
"52","persons=more","safety=med",0.111111111111111
