"","item1","item2","item3","support"
"1","buying=high","class=unacc","doors=2",0.0503472222222222
"2","buying=high","class=unacc","lug_boot=big",0.0555555555555556
"3","buying=high","class=unacc","lug_boot=med",0.0607638888888889
"4","buying=high","class=unacc","lug_boot=small",0.0711805555555556
"5","buying=high","class=unacc","maint=vhigh",0.0625
"6","buying=high","class=unacc","persons=2",0.0833333333333333
"7","buying=high","class=unacc","persons=4",0.0520833333333333
"8","buying=high","class=unacc","persons=more",0.0520833333333333
"9","buying=high","class=unacc","safety=low",0.0833333333333333
"10","buying=high","class=unacc","safety=med",0.0607638888888889
"11","buying=low","class=unacc","lug_boot=small",0.0549768518518519
"12","buying=low","class=unacc","persons=2",0.0833333333333333
"13","buying=low","class=unacc","safety=low",0.0833333333333333
"14","buying=med","class=unacc","lug_boot=small",0.0590277777777778
"15","buying=med","class=unacc","persons=2",0.0833333333333333
"16","buying=med","class=unacc","safety=low",0.0833333333333333
"17","buying=vhigh","class=unacc","doors=2",0.0543981481481481
"18","buying=vhigh","class=unacc","doors=3",0.0520833333333333
"19","buying=vhigh","class=unacc","doors=4",0.0509259259259259
"20","buying=vhigh","class=unacc","doors=5more",0.0509259259259259
"21","buying=vhigh","class=unacc","lug_boot=big",0.0648148148148148
"22","buying=vhigh","class=unacc","lug_boot=med",0.068287037037037
"23","buying=vhigh","class=unacc","lug_boot=small",0.0752314814814815
"24","buying=vhigh","class=unacc","maint=high",0.0625
"25","buying=vhigh","class=unacc","maint=vhigh",0.0625
"26","buying=vhigh","class=unacc","persons=2",0.0833333333333333
"27","buying=vhigh","class=unacc","persons=4",0.0625
"28","buying=vhigh","class=unacc","persons=more",0.0625
"29","buying=vhigh","class=unacc","safety=high",0.056712962962963
"30","buying=vhigh","class=unacc","safety=low",0.0833333333333333
"31","buying=vhigh","class=unacc","safety=med",0.068287037037037
"32","class=acc","persons=4","safety=high",0.0625
"33","class=acc","persons=4","safety=med",0.0520833333333333
"34","class=acc","persons=more","safety=high",0.0555555555555556
"35","class=acc","persons=more","safety=med",0.0520833333333333
"36","class=unacc","doors=2","lug_boot=big",0.0532407407407407
"37","class=unacc","doors=2","lug_boot=med",0.0625
"38","class=unacc","doors=2","lug_boot=small",0.0729166666666667
"39","class=unacc","doors=2","maint=vhigh",0.0543981481481481
"40","class=unacc","doors=2","persons=2",0.0833333333333333
"41","class=unacc","doors=2","persons=more",0.0578703703703704
"42","class=unacc","doors=2","safety=low",0.0833333333333333
"43","class=unacc","doors=2","safety=med",0.0596064814814815
"44","class=unacc","doors=3","lug_boot=big",0.0532407407407407
"45","class=unacc","doors=3","lug_boot=med",0.0578703703703704
"46","class=unacc","doors=3","lug_boot=small",0.0625
"47","class=unacc","doors=3","maint=vhigh",0.0520833333333333
"48","class=unacc","doors=3","persons=2",0.0833333333333333
"49","class=unacc","doors=3","safety=low",0.0833333333333333
"50","class=unacc","doors=3","safety=med",0.0520833333333333
"51","class=unacc","doors=4","lug_boot=big",0.0532407407407407
"52","class=unacc","doors=4","lug_boot=med",0.0532407407407407
"53","class=unacc","doors=4","lug_boot=small",0.0625
"54","class=unacc","doors=4","maint=vhigh",0.0509259259259259
"55","class=unacc","doors=4","persons=2",0.0833333333333333
"56","class=unacc","doors=4","safety=low",0.0833333333333333
"57","class=unacc","doors=5more","lug_boot=big",0.0532407407407407
"58","class=unacc","doors=5more","lug_boot=med",0.0532407407407407
"59","class=unacc","doors=5more","lug_boot=small",0.0625
"60","class=unacc","doors=5more","maint=vhigh",0.0509259259259259
"61","class=unacc","doors=5more","persons=2",0.0833333333333333
"62","class=unacc","doors=5more","safety=low",0.0833333333333333
"63","class=unacc","lug_boot=big","maint=high",0.0555555555555556
"64","class=unacc","lug_boot=big","maint=vhigh",0.0648148148148148
"65","class=unacc","lug_boot=big","persons=2",0.111111111111111
"66","class=unacc","lug_boot=big","persons=4",0.0509259259259259
"67","class=unacc","lug_boot=big","persons=more",0.0509259259259259
"68","class=unacc","lug_boot=big","safety=high",0.0509259259259259
"69","class=unacc","lug_boot=big","safety=low",0.111111111111111
"70","class=unacc","lug_boot=big","safety=med",0.0509259259259259
"71","class=unacc","lug_boot=med","maint=high",0.0590277777777778
"72","class=unacc","lug_boot=med","maint=vhigh",0.068287037037037
"73","class=unacc","lug_boot=med","persons=2",0.111111111111111
"74","class=unacc","lug_boot=med","persons=4",0.0601851851851852
"75","class=unacc","lug_boot=med","persons=more",0.0555555555555556
"76","class=unacc","lug_boot=med","safety=high",0.0509259259259259
"77","class=unacc","lug_boot=med","safety=low",0.111111111111111
"78","class=unacc","lug_boot=med","safety=med",0.0648148148148148
"79","class=unacc","lug_boot=small","maint=high",0.0671296296296296
"80","class=unacc","lug_boot=small","maint=low",0.0590277777777778
"81","class=unacc","lug_boot=small","maint=med",0.0590277777777778
"82","class=unacc","lug_boot=small","maint=vhigh",0.0752314814814815
"83","class=unacc","lug_boot=small","persons=2",0.111111111111111
"84","class=unacc","lug_boot=small","persons=4",0.0694444444444444
"85","class=unacc","lug_boot=small","persons=more",0.0798611111111111
"86","class=unacc","lug_boot=small","safety=high",0.0584490740740741
"87","class=unacc","lug_boot=small","safety=low",0.111111111111111
"88","class=unacc","lug_boot=small","safety=med",0.0908564814814815
"89","class=unacc","maint=high","persons=2",0.0833333333333333
"90","class=unacc","maint=high","safety=low",0.0833333333333333
"91","class=unacc","maint=high","safety=med",0.0549768518518519
"92","class=unacc","maint=low","persons=2",0.0833333333333333
"93","class=unacc","maint=low","safety=low",0.0833333333333333
"94","class=unacc","maint=med","persons=2",0.0833333333333333
"95","class=unacc","maint=med","safety=low",0.0833333333333333
"96","class=unacc","maint=vhigh","persons=2",0.0833333333333333
"97","class=unacc","maint=vhigh","persons=4",0.0625
"98","class=unacc","maint=vhigh","persons=more",0.0625
"99","class=unacc","maint=vhigh","safety=high",0.056712962962963
"100","class=unacc","maint=vhigh","safety=low",0.0833333333333333
"101","class=unacc","maint=vhigh","safety=med",0.068287037037037
"102","class=unacc","persons=2","safety=high",0.111111111111111
"103","class=unacc","persons=2","safety=low",0.111111111111111
"104","class=unacc","persons=2","safety=med",0.111111111111111
"105","class=unacc","persons=4","safety=low",0.111111111111111
"106","class=unacc","persons=more","safety=low",0.111111111111111
