"","item1","item2","support"
"2","buying=high","class=acc",0.0625
"4","buying=high","doors=3",0.0625
"5","buying=high","doors=4",0.0625
"6","buying=high","doors=5more",0.0625
"10","buying=high","maint=high",0.0625
"11","buying=high","maint=low",0.0625
"12","buying=high","maint=med",0.0625
"17","buying=high","safety=high",0.0833333333333333
"20","buying=low","class=acc",0.0515046296296296
"22","buying=low","doors=2",0.0625
"23","buying=low","doors=3",0.0625
"24","buying=low","doors=4",0.0625
"25","buying=low","doors=5more",0.0625
"26","buying=low","lug_boot=big",0.0833333333333333
"27","buying=low","lug_boot=med",0.0833333333333333
"29","buying=low","maint=high",0.0625
"30","buying=low","maint=low",0.0625
"31","buying=low","maint=med",0.0625
"32","buying=low","maint=vhigh",0.0625
"34","buying=low","persons=4",0.0833333333333333
"35","buying=low","persons=more",0.0833333333333333
"36","buying=low","safety=high",0.0833333333333333
"38","buying=low","safety=med",0.0833333333333333
"39","buying=med","class=acc",0.0665509259259259
"41","buying=med","doors=2",0.0625
"42","buying=med","doors=3",0.0625
"43","buying=med","doors=4",0.0625
"44","buying=med","doors=5more",0.0625
"45","buying=med","lug_boot=big",0.0833333333333333
"46","buying=med","lug_boot=med",0.0833333333333333
"48","buying=med","maint=high",0.0625
"49","buying=med","maint=low",0.0625
"50","buying=med","maint=med",0.0625
"51","buying=med","maint=vhigh",0.0625
"53","buying=med","persons=4",0.0833333333333333
"54","buying=med","persons=more",0.0833333333333333
"55","buying=med","safety=high",0.0833333333333333
"57","buying=med","safety=med",0.0833333333333333
"67","buying=vhigh","maint=low",0.0625
"68","buying=vhigh","maint=med",0.0625
"76","class=acc","doors=3",0.0572916666666667
"77","class=acc","doors=4",0.0590277777777778
"78","class=acc","doors=5more",0.0590277777777778
"79","class=acc","lug_boot=big",0.0833333333333333
"80","class=acc","lug_boot=med",0.078125
"81","class=acc","lug_boot=small",0.0607638888888889
"82","class=acc","maint=high",0.0607638888888889
"83","class=acc","maint=low",0.0532407407407407
"84","class=acc","maint=med",0.0665509259259259
"109","doors=2","maint=high",0.0625
"110","doors=2","maint=low",0.0625
"111","doors=2","maint=med",0.0625
"114","doors=2","persons=4",0.0833333333333333
"116","doors=2","safety=high",0.0833333333333333
"122","doors=3","maint=high",0.0625
"123","doors=3","maint=low",0.0625
"124","doors=3","maint=med",0.0625
"127","doors=3","persons=4",0.0833333333333333
"128","doors=3","persons=more",0.0833333333333333
"129","doors=3","safety=high",0.0833333333333333
"135","doors=4","maint=high",0.0625
"136","doors=4","maint=low",0.0625
"137","doors=4","maint=med",0.0625
"140","doors=4","persons=4",0.0833333333333333
"141","doors=4","persons=more",0.0833333333333333
"142","doors=4","safety=high",0.0833333333333333
"144","doors=4","safety=med",0.0833333333333333
"148","doors=5more","maint=high",0.0625
"149","doors=5more","maint=low",0.0625
"150","doors=5more","maint=med",0.0625
"153","doors=5more","persons=4",0.0833333333333333
"154","doors=5more","persons=more",0.0833333333333333
"155","doors=5more","safety=high",0.0833333333333333
"157","doors=5more","safety=med",0.0833333333333333
"159","lug_boot=big","maint=low",0.0833333333333333
"160","lug_boot=big","maint=med",0.0833333333333333
"169","lug_boot=med","maint=low",0.0833333333333333
"170","lug_boot=med","maint=med",0.0833333333333333
"189","maint=high","persons=4",0.0833333333333333
"190","maint=high","persons=more",0.0833333333333333
"191","maint=high","safety=high",0.0833333333333333
"195","maint=low","persons=4",0.0833333333333333
"196","maint=low","persons=more",0.0833333333333333
"197","maint=low","safety=high",0.0833333333333333
"199","maint=low","safety=med",0.0833333333333333
"201","maint=med","persons=4",0.0833333333333333
"202","maint=med","persons=more",0.0833333333333333
"203","maint=med","safety=high",0.0833333333333333
"205","maint=med","safety=med",0.0833333333333333
