"","rules","support","lift"
"1","class=unacc => persons=2","0.333333333333333","1.42809917355372"
"2","persons=2 => class=unacc","0.333333333333333","1.42809917355372"
"3","class=unacc => safety=low","0.333333333333333","1.42809917355372"
"4","safety=low => class=unacc","0.333333333333333","1.42809917355372"
"5","class=unacc => lug_boot=small","0.260416666666667","1.11570247933884"
"6","lug_boot=small => class=unacc","0.260416666666667","1.11570247933884"
"7","buying=vhigh => class=unacc","0.208333333333333","1.1900826446281"
"8","class=unacc => buying=vhigh","0.208333333333333","1.1900826446281"
"9","class=unacc => maint=vhigh","0.208333333333333","1.1900826446281"
"10","maint=vhigh => class=unacc","0.208333333333333","1.1900826446281"
"11","class=acc => safety=high","0.118055555555556","1.59375"
"12","safety=high => class=acc","0.118055555555556","1.59375"
"13","class=acc => persons=4","0.114583333333333","1.546875"
"14","persons=4 => class=acc","0.114583333333333","1.546875"
"15","class=unacc,safety=high => persons=2","0.111111111111111","2.07942238267148"
"16","persons=2 => class=unacc,safety=high","0.111111111111111","2.07942238267148"
"17","class=unacc,persons=4 => safety=low","0.111111111111111","1.84615384615385"
"18","safety=low => class=unacc,persons=4","0.111111111111111","1.84615384615385"
"19","class=unacc,persons=more => safety=low","0.111111111111111","1.7888198757764"
"20","safety=low => class=unacc,persons=more","0.111111111111111","1.7888198757764"
"21","class=unacc,safety=med => persons=2","0.111111111111111","1.61344537815126"
"22","persons=2 => class=unacc,safety=med","0.111111111111111","1.61344537815126"
"23","class=unacc,lug_boot=big => persons=2","0.111111111111111","1.56521739130435"
"24","persons=2 => class=unacc,lug_boot=big","0.111111111111111","1.56521739130435"
"25","class=unacc,lug_boot=big => safety=low","0.111111111111111","1.56521739130435"
"26","safety=low => class=unacc,lug_boot=big","0.111111111111111","1.56521739130435"
"27","class=unacc,lug_boot=med => persons=2","0.111111111111111","1.46938775510204"
"28","persons=2 => class=unacc,lug_boot=med","0.111111111111111","1.46938775510204"
"29","class=unacc,lug_boot=med => safety=low","0.111111111111111","1.46938775510204"
"30","safety=low => class=unacc,lug_boot=med","0.111111111111111","1.46938775510204"
"31","lug_boot=big,persons=2 => class=unacc","0.111111111111111","1.42809917355372"
"32","class=unacc => lug_boot=big,persons=2","0.111111111111111","1.42809917355372"
"33","lug_boot=big,safety=low => class=unacc","0.111111111111111","1.42809917355372"
"34","class=unacc => lug_boot=big,safety=low","0.111111111111111","1.42809917355372"
"35","lug_boot=med,persons=2 => class=unacc","0.111111111111111","1.42809917355372"
"36","class=unacc => lug_boot=med,persons=2","0.111111111111111","1.42809917355372"
"37","lug_boot=med,safety=low => class=unacc","0.111111111111111","1.42809917355372"
"38","class=unacc => lug_boot=med,safety=low","0.111111111111111","1.42809917355372"
"39","lug_boot=small,persons=2 => class=unacc","0.111111111111111","1.42809917355372"
"40","class=unacc => lug_boot=small,persons=2","0.111111111111111","1.42809917355372"
"41","lug_boot=small,safety=low => class=unacc","0.111111111111111","1.42809917355372"
"42","class=unacc => lug_boot=small,safety=low","0.111111111111111","1.42809917355372"
"43","persons=2,safety=high => class=unacc","0.111111111111111","1.42809917355372"
