"","item1","item2","item3","item4","support"
"1","children=0","contraceptive.method=1","husband.edu=4","husband.occu=1",0.0719619823489477
"2","children=0","contraceptive.method=1","husband.edu=4","husband.occu=2",0.0414120841819416
"3","children=0","contraceptive.method=1","husband.edu=4","husband.occu=3",0.0583842498302783
"4","children=0","contraceptive.method=1","husband.edu=4","media.expo=0",0.169721656483367
"5","children=0","contraceptive.method=1","husband.edu=4","stand.living=2",0.0190088255261371
"6","children=0","contraceptive.method=1","husband.edu=4","stand.living=3",0.054989816700611
"7","children=0","contraceptive.method=1","husband.edu=4","stand.living=4",0.086897488119484
"8","children=0","contraceptive.method=1","husband.edu=4","wife.age=0",0.118126272912424
"9","children=0","contraceptive.method=1","husband.edu=4","wife.age=1",0.0570264765784114
"10","children=0","contraceptive.method=1","husband.edu=4","wife.edu=2",0.0251188051595384
"11","children=0","contraceptive.method=1","husband.edu=4","wife.edu=3",0.0509164969450102
"12","children=0","contraceptive.method=1","husband.edu=4","wife.edu=4",0.0950441276306857
"13","children=0","contraceptive.method=1","husband.edu=4","wife.religion=1",0.141887304820095
"14","children=0","contraceptive.method=1","husband.edu=4","wife.working=0",0.054989816700611
"15","children=0","contraceptive.method=1","husband.edu=4","wife.working=1",0.120162932790224
"16","children=0","contraceptive.method=1","media.expo=0","stand.living=2",0.0414120841819416
"17","children=0","contraceptive.method=1","media.expo=0","stand.living=3",0.0760353021045485
"18","children=0","contraceptive.method=1","media.expo=0","stand.living=4",0.118126272912424
"19","children=0","contraceptive.method=1","media.expo=0","wife.age=0",0.178547182620502
"20","children=0","contraceptive.method=1","media.expo=0","wife.age=1",0.0875763747454175
"21","children=0","contraceptive.method=1","media.expo=0","wife.edu=2",0.0726408689748812
"22","children=0","contraceptive.method=1","media.expo=0","wife.edu=3",0.0787508486082824
"23","children=0","contraceptive.method=1","media.expo=0","wife.edu=4",0.0964019008825526
"24","children=0","contraceptive.method=1","media.expo=0","wife.religion=1",0.226748133061779
"25","children=0","contraceptive.method=1","media.expo=0","wife.working=0",0.0821452817379498
"26","children=0","contraceptive.method=1","media.expo=0","wife.working=1",0.18397827562797
"27","children=0","contraceptive.method=1","wife.age=0","wife.edu=2",0.0597420230821453
"28","children=0","contraceptive.method=1","wife.age=0","wife.edu=3",0.0597420230821453
"29","children=0","contraceptive.method=1","wife.age=0","wife.edu=4",0.0590631364562118
"30","children=0","contraceptive.method=1","wife.age=0","wife.religion=1",0.169721656483367
"31","children=0","contraceptive.method=1","wife.age=0","wife.working=0",0.0556687033265445
"32","children=0","contraceptive.method=1","wife.age=0","wife.working=1",0.13102511880516
"33","children=0","contraceptive.method=1","wife.religion=1","wife.working=0",0.0760353021045485
"34","children=0","contraceptive.method=1","wife.religion=1","wife.working=1",0.170400543109301
"35","children=0","contraceptive.method=3","media.expo=0","stand.living=2",0.0312287847929396
"36","children=0","contraceptive.method=3","media.expo=0","stand.living=3",0.0631364562118126
"37","children=0","contraceptive.method=3","media.expo=0","stand.living=4",0.0936863543788187
"38","children=0","contraceptive.method=3","media.expo=0","wife.age=0",0.159538357094365
"39","children=0","contraceptive.method=3","media.expo=0","wife.age=1",0.043448744059742
"40","children=0","contraceptive.method=3","media.expo=0","wife.edu=2",0.0386965376782077
"41","children=0","contraceptive.method=3","media.expo=0","wife.edu=3",0.0617786829599457
"42","children=0","contraceptive.method=3","media.expo=0","wife.edu=4",0.0943652410047522
"43","children=0","contraceptive.method=3","media.expo=0","wife.religion=1",0.169042769857434
"44","children=0","contraceptive.method=3","media.expo=0","wife.working=0",0.0427698574338086
"45","children=0","contraceptive.method=3","media.expo=0","wife.working=1",0.160217243720299
"46","children=0","contraceptive.method=3","wife.age=0","wife.edu=2",0.0353021045485404
"47","children=0","contraceptive.method=3","wife.age=0","wife.edu=3",0.0577053632043449
