"","item1","item2","item3","item4","item5","support"
"1","children=0","contraceptive.method=1","husband.edu=4","media.expo=0","stand.living=2",0.0176510522742702
"2","children=0","contraceptive.method=1","husband.edu=4","media.expo=0","stand.living=3",0.0543109300746775
"3","children=0","contraceptive.method=1","husband.edu=4","media.expo=0","stand.living=4",0.0848608282416836
"4","children=0","contraceptive.method=1","husband.edu=4","media.expo=0","wife.age=0",0.114731839782756
"5","children=0","contraceptive.method=1","husband.edu=4","media.expo=0","wife.age=1",0.054989816700611
"6","children=0","contraceptive.method=1","husband.edu=4","media.expo=0","wife.edu=2",0.0237610319076714
"7","children=0","contraceptive.method=1","husband.edu=4","media.expo=0","wife.edu=3",0.0488798370672098
"8","children=0","contraceptive.method=1","husband.edu=4","media.expo=0","wife.edu=4",0.0936863543788187
"9","children=0","contraceptive.method=1","husband.edu=4","media.expo=0","wife.religion=1",0.136456211812627
"10","children=0","contraceptive.method=1","husband.edu=4","media.expo=0","wife.working=0",0.0529531568228106
"11","children=0","contraceptive.method=1","husband.edu=4","media.expo=0","wife.working=1",0.116768499660557
"12","children=0","contraceptive.method=1","media.expo=0","wife.age=0","wife.edu=2",0.0556687033265445
"13","children=0","contraceptive.method=1","media.expo=0","wife.age=0","wife.edu=3",0.0583842498302783
"14","children=0","contraceptive.method=1","media.expo=0","wife.age=0","wife.edu=4",0.0583842498302783
"15","children=0","contraceptive.method=1","media.expo=0","wife.age=0","wife.religion=1",0.161575016972166
"16","children=0","contraceptive.method=1","media.expo=0","wife.age=0","wife.working=0",0.0522742701968771
"17","children=0","contraceptive.method=1","media.expo=0","wife.age=0","wife.working=1",0.126272912423625
"18","children=0","contraceptive.method=1","media.expo=0","wife.religion=1","wife.working=0",0.0699253224711473
"19","children=0","contraceptive.method=1","media.expo=0","wife.religion=1","wife.working=1",0.156822810590631
"20","children=0","contraceptive.method=1","wife.age=0","wife.religion=1","wife.working=0",0.0502376103190767
"21","children=0","contraceptive.method=1","wife.age=0","wife.religion=1","wife.working=1",0.119484046164291
"22","children=0","contraceptive.method=3","media.expo=0","wife.age=0","wife.edu=2",0.03326544467074
"23","children=0","contraceptive.method=3","media.expo=0","wife.age=0","wife.edu=3",0.054989816700611
"24","children=0","contraceptive.method=3","media.expo=0","wife.age=0","wife.edu=4",0.0644942294636796
"25","children=0","contraceptive.method=3","media.expo=0","wife.age=0","wife.religion=1",0.142566191446029
"26","children=0","contraceptive.method=3","media.expo=0","wife.age=0","wife.working=0",0.0305498981670061
"27","children=0","contraceptive.method=3","media.expo=0","wife.age=0","wife.working=1",0.128988458927359
"28","children=0","contraceptive.method=3","media.expo=0","wife.religion=1","wife.working=0",0.0305498981670061
"29","children=0","contraceptive.method=3","media.expo=0","wife.religion=1","wife.working=1",0.138492871690428
"30","children=0","contraceptive.method=3","wife.age=0","wife.religion=1","wife.working=0",0.0244399185336049
"31","children=0","contraceptive.method=3","wife.age=0","wife.religion=1","wife.working=1",0.126951799049559
"32","children=0","husband.edu=4","husband.occu=1","media.expo=0","stand.living=2",0.00678886625933469
"33","children=0","husband.edu=4","husband.occu=1","media.expo=0","stand.living=3",0.0461642905634759
"34","children=0","husband.edu=4","husband.occu=1","media.expo=0","stand.living=4",0.11744738628649
"35","children=0","husband.edu=4","husband.occu=1","media.expo=0","wife.age=0",0.103869653767821
"36","children=0","husband.edu=4","husband.occu=1","media.expo=0","wife.age=1",0.0685675492192804
"37","children=0","husband.edu=4","husband.occu=1","media.expo=0","wife.edu=2",0.0088255261371351
"38","children=0","husband.edu=4","husband.occu=1","media.expo=0","wife.edu=3",0.0237610319076714
"39","children=0","husband.edu=4","husband.occu=1","media.expo=0","wife.edu=4",0.139171758316361
"40","children=0","husband.edu=4","husband.occu=1","media.expo=0","wife.religion=1",0.140529531568228
"41","children=0","husband.edu=4","husband.occu=1","media.expo=0","wife.working=0",0.0502376103190767
"42","children=0","husband.edu=4","husband.occu=1","media.expo=0","wife.working=1",0.122199592668024
"43","children=0","husband.edu=4","media.expo=0","stand.living=4","wife.age=0",0.13102511880516
"44","children=0","husband.edu=4","media.expo=0","stand.living=4","wife.age=1",0.0977596741344195
"45","children=0","husband.edu=4","media.expo=0","stand.living=4","wife.edu=2",0.0183299389002037
"46","children=0","husband.edu=4","media.expo=0","stand.living=4","wife.edu=3",0.0386965376782077
"47","children=0","husband.edu=4","media.expo=0","stand.living=4","wife.edu=4",0.171758316361168
"48","children=0","husband.edu=4","media.expo=0","stand.living=4","wife.religion=1",0.1642905634759
"49","children=0","husband.edu=4","media.expo=0","stand.living=4","wife.working=0",0.0719619823489477
"50","children=0","husband.edu=4","media.expo=0","stand.living=4","wife.working=1",0.156822810590631
"51","children=0","husband.edu=4","media.expo=0","wife.age=0","wife.edu=2",0.0353021045485404
"52","children=0","husband.edu=4","media.expo=0","wife.age=0","wife.edu=3",0.0746775288526816
"53","children=0","husband.edu=4","media.expo=0","wife.age=0","wife.edu=4",0.159538357094365
"54","children=0","husband.edu=4","media.expo=0","wife.age=0","wife.religion=1",0.230142566191446
"55","children=0","husband.edu=4","media.expo=0","wife.age=0","wife.working=0",0.0753564154786151
"56","children=0","husband.edu=4","media.expo=0","wife.age=0","wife.working=1",0.196198234894773
"57","children=0","husband.edu=4","media.expo=0","wife.edu=4","wife.religion=1",0.189409368635438
"58","children=0","husband.edu=4","media.expo=0","wife.edu=4","wife.working=0",0.0841819416157502
"59","children=0","husband.edu=4","media.expo=0","wife.edu=4","wife.working=1",0.172437202987101
"60","children=0","husband.edu=4","media.expo=0","wife.religion=1","wife.working=0",0.0848608282416836
"61","children=0","husband.edu=4","media.expo=0","wife.religion=1","wife.working=1",0.23082145281738
"62","children=0","husband.edu=4","stand.living=4","wife.edu=4","wife.religion=1",0.121520706042091
"63","children=0","husband.edu=4","stand.living=4","wife.edu=4","wife.working=0",0.0583842498302783
"64","children=0","husband.edu=4","stand.living=4","wife.edu=4","wife.working=1",0.114731839782756
"65","children=0","husband.edu=4","stand.living=4","wife.religion=1","wife.working=0",0.0529531568228106
"66","children=0","husband.edu=4","stand.living=4","wife.religion=1","wife.working=1",0.11541072640869
"67","children=0","husband.edu=4","wife.age=0","wife.edu=4","wife.religion=1",0.126951799049559
"68","children=0","husband.edu=4","wife.age=0","wife.edu=4","wife.working=0",0.0522742701968771
"69","children=0","husband.edu=4","wife.age=0","wife.edu=4","wife.working=1",0.108621860149355
"70","children=0","husband.edu=4","wife.age=0","wife.religion=1","wife.working=0",0.0624575695858792
"71","children=0","husband.edu=4","wife.age=0","wife.religion=1","wife.working=1",0.173794976238968
"72","children=0","husband.edu=4","wife.edu=4","wife.religion=1","wife.working=0",0.0604209097080788
"73","children=0","husband.edu=4","wife.edu=4","wife.religion=1","wife.working=1",0.13102511880516
"74","children=0","husband.occu=3","media.expo=0","wife.age=0","wife.edu=2",0.0597420230821453
"75","children=0","husband.occu=3","media.expo=0","wife.age=0","wife.edu=3",0.0692464358452139
"76","children=0","husband.occu=3","media.expo=0","wife.age=0","wife.edu=4",0.043448744059742
"77","children=0","husband.occu=3","media.expo=0","wife.age=0","wife.religion=1",0.171079429735234
"78","children=0","husband.occu=3","media.expo=0","wife.age=0","wife.working=0",0.0380176510522743
"79","children=0","husband.occu=3","media.expo=0","wife.age=0","wife.working=1",0.143245078071962
"80","children=0","husband.occu=3","media.expo=0","wife.religion=1","wife.working=0",0.0454854039375424
"81","children=0","husband.occu=3","media.expo=0","wife.religion=1","wife.working=1",0.156822810590631
"82","children=0","husband.occu=3","wife.age=0","wife.religion=1","wife.working=0",0.0393754243041412
"83","children=0","husband.occu=3","wife.age=0","wife.religion=1","wife.working=1",0.141887304820095
"84","children=0","media.expo=0","stand.living=3","wife.religion=1","wife.working=0",0.0353021045485404
"85","children=0","media.expo=0","stand.living=3","wife.religion=1","wife.working=1",0.116089613034623
"86","children=0","media.expo=0","stand.living=4","wife.age=0","wife.edu=2",0.0291921249151392
"87","children=0","media.expo=0","stand.living=4","wife.age=0","wife.edu=3",0.0393754243041412
"88","children=0","media.expo=0","stand.living=4","wife.age=0","wife.edu=4",0.0930074677528853
"89","children=0","media.expo=0","stand.living=4","wife.age=0","wife.religion=1",0.13509843856076
"90","children=0","media.expo=0","stand.living=4","wife.age=0","wife.working=0",0.0556687033265445
"91","children=0","media.expo=0","stand.living=4","wife.age=0","wife.working=1",0.109979633401222
"92","children=0","media.expo=0","stand.living=4","wife.edu=4","wife.religion=1",0.121520706042091
"93","children=0","media.expo=0","stand.living=4","wife.edu=4","wife.working=0",0.0577053632043449
"94","children=0","media.expo=0","stand.living=4","wife.edu=4","wife.working=1",0.116768499660557
"95","children=0","media.expo=0","stand.living=4","wife.religion=1","wife.working=0",0.0658520027155465
"96","children=0","media.expo=0","stand.living=4","wife.religion=1","wife.working=1",0.144602851323829
"97","children=0","media.expo=0","wife.age=0","wife.edu=4","wife.religion=1",0.13306177868296
"98","children=0","media.expo=0","wife.age=0","wife.edu=4","wife.working=0",0.0543109300746775
"99","children=0","media.expo=0","wife.age=0","wife.edu=4","wife.working=1",0.113374066530889
"100","children=0","media.expo=0","wife.age=0","wife.religion=1","wife.working=0",0.088255261371351
"101","children=0","media.expo=0","wife.age=0","wife.religion=1","wife.working=1",0.276306856754922
"102","children=0","media.expo=0","wife.edu=4","wife.religion=1","wife.working=0",0.0631364562118126
"103","children=0","media.expo=0","wife.edu=4","wife.religion=1","wife.working=1",0.13509843856076
"104","children=1","husband.edu=4","media.expo=0","wife.religion=1","wife.working=0",0.0271554650373388
"105","children=1","husband.edu=4","media.expo=0","wife.religion=1","wife.working=1",0.128988458927359
"106","children=1","media.expo=0","wife.age=1","wife.religion=1","wife.working=0",0.0427698574338086
"107","children=1","media.expo=0","wife.age=1","wife.religion=1","wife.working=1",0.1683638832315
"108","contraceptive.method=1","husband.edu=4","media.expo=0","wife.religion=1","wife.working=0",0.0515953835709437
"109","contraceptive.method=1","husband.edu=4","media.expo=0","wife.religion=1","wife.working=1",0.129667345553293
"110","contraceptive.method=1","media.expo=0","wife.age=0","wife.religion=1","wife.working=0",0.0515953835709437
"111","contraceptive.method=1","media.expo=0","wife.age=0","wife.religion=1","wife.working=1",0.13306177868296
"112","contraceptive.method=3","husband.edu=4","media.expo=0","wife.religion=1","wife.working=0",0.031907671418873
"113","contraceptive.method=3","husband.edu=4","media.expo=0","wife.religion=1","wife.working=1",0.13509843856076
"114","contraceptive.method=3","media.expo=0","wife.age=0","wife.religion=1","wife.working=0",0.0339443312966735
"115","contraceptive.method=3","media.expo=0","wife.age=0","wife.religion=1","wife.working=1",0.160896130346232
"116","husband.edu=4","husband.occu=1","media.expo=0","stand.living=4","wife.age=0",0.0699253224711473
"117","husband.edu=4","husband.occu=1","media.expo=0","stand.living=4","wife.age=1",0.116089613034623
"118","husband.edu=4","husband.occu=1","media.expo=0","stand.living=4","wife.edu=2",0.00678886625933469
"119","husband.edu=4","husband.occu=1","media.expo=0","stand.living=4","wife.edu=3",0.0224032586558045
"120","husband.edu=4","husband.occu=1","media.expo=0","stand.living=4","wife.edu=4",0.156143923964698
"121","husband.edu=4","husband.occu=1","media.expo=0","stand.living=4","wife.religion=1",0.14867617107943
"122","husband.edu=4","husband.occu=1","media.expo=0","stand.living=4","wife.working=0",0.0509164969450102
"123","husband.edu=4","husband.occu=1","media.expo=0","stand.living=4","wife.working=1",0.13509843856076
"124","husband.edu=4","husband.occu=1","media.expo=0","wife.edu=4","wife.religion=1",0.161575016972166
"125","husband.edu=4","husband.occu=1","media.expo=0","wife.edu=4","wife.working=0",0.0597420230821453
"126","husband.edu=4","husband.occu=1","media.expo=0","wife.edu=4","wife.working=1",0.145281737949762
"127","husband.edu=4","husband.occu=1","media.expo=0","wife.religion=1","wife.working=0",0.0543109300746775
"128","husband.edu=4","husband.occu=1","media.expo=0","wife.religion=1","wife.working=1",0.162253903598099
"129","husband.edu=4","husband.occu=1","stand.living=4","wife.edu=4","wife.religion=1",0.122199592668024
"130","husband.edu=4","husband.occu=1","stand.living=4","wife.edu=4","wife.working=0",0.0468431771894094
"131","husband.edu=4","husband.occu=1","stand.living=4","wife.edu=4","wife.working=1",0.109979633401222
"132","husband.edu=4","husband.occu=1","stand.living=4","wife.religion=1","wife.working=0",0.0407331975560081
"133","husband.edu=4","husband.occu=1","stand.living=4","wife.religion=1","wife.working=1",0.111337406653089
"134","husband.edu=4","husband.occu=1","wife.edu=4","wife.religion=1","wife.working=0",0.0461642905634759
"135","husband.edu=4","husband.occu=1","wife.edu=4","wife.religion=1","wife.working=1",0.116768499660557
"136","husband.edu=4","husband.occu=3","media.expo=0","wife.religion=1","wife.working=0",0.0285132382892057
"137","husband.edu=4","husband.occu=3","media.expo=0","wife.religion=1","wife.working=1",0.121520706042091
"138","husband.edu=4","media.expo=0","stand.living=3","wife.religion=1","wife.working=0",0.0312287847929396
"139","husband.edu=4","media.expo=0","stand.living=3","wife.religion=1","wife.working=1",0.119484046164291
"140","husband.edu=4","media.expo=0","stand.living=4","wife.age=0","wife.edu=2",0.0196877121520706
"141","husband.edu=4","media.expo=0","stand.living=4","wife.age=0","wife.edu=3",0.031907671418873
"142","husband.edu=4","media.expo=0","stand.living=4","wife.age=0","wife.edu=4",0.09979633401222
"143","husband.edu=4","media.expo=0","stand.living=4","wife.age=0","wife.religion=1",0.120841819416158
"144","husband.edu=4","media.expo=0","stand.living=4","wife.age=0","wife.working=0",0.0488798370672098
"145","husband.edu=4","media.expo=0","stand.living=4","wife.age=0","wife.working=1",0.102511880515954
"146","husband.edu=4","media.expo=0","stand.living=4","wife.age=1","wife.edu=2",0.0088255261371351
"147","husband.edu=4","media.expo=0","stand.living=4","wife.age=1","wife.edu=3",0.031907671418873
"148","husband.edu=4","media.expo=0","stand.living=4","wife.age=1","wife.edu=4",0.152749490835031
"149","husband.edu=4","media.expo=0","stand.living=4","wife.age=1","wife.religion=1",0.134419551934827
"150","husband.edu=4","media.expo=0","stand.living=4","wife.age=1","wife.working=0",0.0502376103190767
"151","husband.edu=4","media.expo=0","stand.living=4","wife.age=1","wife.working=1",0.144602851323829
"152","husband.edu=4","media.expo=0","stand.living=4","wife.edu=4","wife.religion=1",0.177868295994569
"153","husband.edu=4","media.expo=0","stand.living=4","wife.edu=4","wife.working=0",0.076714188730482
"154","husband.edu=4","media.expo=0","stand.living=4","wife.edu=4","wife.working=1",0.175831636116768
"155","husband.edu=4","media.expo=0","stand.living=4","wife.religion=1","wife.working=0",0.0692464358452139
"156","husband.edu=4","media.expo=0","stand.living=4","wife.religion=1","wife.working=1",0.186014935505771
"157","husband.edu=4","media.expo=0","wife.age=0","wife.edu=4","wife.religion=1",0.139171758316361
"158","husband.edu=4","media.expo=0","wife.age=0","wife.edu=4","wife.working=0",0.0563475899524779
"159","husband.edu=4","media.expo=0","wife.age=0","wife.edu=4","wife.working=1",0.11744738628649
"160","husband.edu=4","media.expo=0","wife.age=0","wife.religion=1","wife.working=0",0.0672097759674134
"161","husband.edu=4","media.expo=0","wife.age=0","wife.religion=1","wife.working=1",0.202308214528174
"162","husband.edu=4","media.expo=0","wife.age=1","wife.edu=4","wife.religion=1",0.13306177868296
"163","husband.edu=4","media.expo=0","wife.age=1","wife.edu=4","wife.working=0",0.0509164969450102
