"","item1","item2","item3","item4","item5","item6","support"
"1","children=0","contraceptive.method=1","media.expo=0","wife.age=0","wife.religion=1","wife.working=0",0.0468431771894094
"2","children=0","contraceptive.method=1","media.expo=0","wife.age=0","wife.religion=1","wife.working=1",0.114731839782756
"3","children=0","husband.edu=4","media.expo=0","stand.living=4","wife.edu=4","wife.religion=1",0.120162932790224
"4","children=0","husband.edu=4","media.expo=0","stand.living=4","wife.edu=4","wife.working=0",0.0577053632043449
"5","children=0","husband.edu=4","media.expo=0","stand.living=4","wife.edu=4","wife.working=1",0.114052953156823
"6","children=0","husband.edu=4","media.expo=0","stand.living=4","wife.religion=1","wife.working=0",0.0515953835709437
"7","children=0","husband.edu=4","media.expo=0","stand.living=4","wife.religion=1","wife.working=1",0.112695179904956
"8","children=0","husband.edu=4","media.expo=0","wife.age=0","wife.edu=4","wife.religion=1",0.125594025797692
"9","children=0","husband.edu=4","media.expo=0","wife.age=0","wife.edu=4","wife.working=0",0.0522742701968771
"10","children=0","husband.edu=4","media.expo=0","wife.age=0","wife.edu=4","wife.working=1",0.107264086897488
"11","children=0","husband.edu=4","media.expo=0","wife.age=0","wife.religion=1","wife.working=0",0.0604209097080788
"12","children=0","husband.edu=4","media.expo=0","wife.age=0","wife.religion=1","wife.working=1",0.169721656483367
"13","children=0","husband.edu=4","media.expo=0","wife.edu=4","wife.religion=1","wife.working=0",0.0597420230821453
"14","children=0","husband.edu=4","media.expo=0","wife.edu=4","wife.religion=1","wife.working=1",0.129667345553293
"15","children=0","husband.occu=3","media.expo=0","wife.age=0","wife.religion=1","wife.working=0",0.0359809911744739
"16","children=0","husband.occu=3","media.expo=0","wife.age=0","wife.religion=1","wife.working=1",0.13509843856076
"17","husband.edu=4","husband.occu=1","media.expo=0","stand.living=4","wife.edu=4","wife.religion=1",0.121520706042091
"18","husband.edu=4","husband.occu=1","media.expo=0","stand.living=4","wife.edu=4","wife.working=0",0.0461642905634759
"19","husband.edu=4","husband.occu=1","media.expo=0","stand.living=4","wife.edu=4","wife.working=1",0.109979633401222
"20","husband.edu=4","husband.occu=1","media.expo=0","wife.edu=4","wife.religion=1","wife.working=0",0.0454854039375424
"21","husband.edu=4","husband.occu=1","media.expo=0","wife.edu=4","wife.religion=1","wife.working=1",0.116089613034623
"22","husband.edu=4","media.expo=0","stand.living=4","wife.age=1","wife.edu=4","wife.religion=1",0.103869653767821
"23","husband.edu=4","media.expo=0","stand.living=4","wife.age=1","wife.edu=4","wife.working=0",0.0393754243041412
"24","husband.edu=4","media.expo=0","stand.living=4","wife.age=1","wife.edu=4","wife.working=1",0.113374066530889
"25","husband.edu=4","media.expo=0","stand.living=4","wife.edu=4","wife.religion=1","wife.working=0",0.0502376103190767
"26","husband.edu=4","media.expo=0","stand.living=4","wife.edu=4","wife.religion=1","wife.working=1",0.127630685675492
