"","item1","item2","item3","support"
"1","children=0","contraceptive.method=1","husband.edu=3",0.0672097759674134
"2","children=0","contraceptive.method=1","husband.edu=4",0.175152749490835
"3","children=0","contraceptive.method=1","husband.occu=1",0.0773930753564155
"4","children=0","contraceptive.method=1","husband.occu=2",0.0835030549898167
"5","children=0","contraceptive.method=1","husband.occu=3",0.119484046164291
"6","children=0","contraceptive.method=1","media.expo=0",0.26612355736592
"7","children=0","contraceptive.method=1","stand.living=3",0.0807875084860828
"8","children=0","contraceptive.method=1","stand.living=4",0.122878479293958
"9","children=0","contraceptive.method=1","wife.age=0",0.186693822131704
"10","children=0","contraceptive.method=1","wife.age=1",0.09979633401222
"11","children=0","contraceptive.method=1","wife.edu=2",0.0780719619823489
"12","children=0","contraceptive.method=1","wife.edu=3",0.0821452817379498
"13","children=0","contraceptive.method=1","wife.edu=4",0.0977596741344195
"14","children=0","contraceptive.method=1","wife.religion=1",0.246435845213849
"15","children=0","contraceptive.method=1","wife.working=0",0.0889341479972845
"16","children=0","contraceptive.method=1","wife.working=1",0.19755600814664
"17","children=0","contraceptive.method=3","husband.edu=3",0.054989816700611
"18","children=0","contraceptive.method=3","husband.edu=4",0.135777325186694
"19","children=0","contraceptive.method=3","husband.occu=1",0.0482009504412763
"20","children=0","contraceptive.method=3","husband.occu=2",0.0610997963340122
"21","children=0","contraceptive.method=3","husband.occu=3",0.0991174473862865
"22","children=0","contraceptive.method=3","media.expo=0",0.202987101154107
"23","children=0","contraceptive.method=3","stand.living=3",0.0644942294636796
"24","children=0","contraceptive.method=3","stand.living=4",0.0950441276306857
"25","children=0","contraceptive.method=3","wife.age=0",0.1683638832315
"26","children=0","contraceptive.method=3","wife.age=1",0.044806517311609
"27","children=0","contraceptive.method=3","wife.edu=2",0.0414120841819416
"28","children=0","contraceptive.method=3","wife.edu=3",0.0644942294636796
"29","children=0","contraceptive.method=3","wife.edu=4",0.0957230142566191
"30","children=0","contraceptive.method=3","wife.religion=1",0.177868295994569
"31","children=0","contraceptive.method=3","wife.working=0",0.0441276306856755
"32","children=0","contraceptive.method=3","wife.working=1",0.169042769857434
"33","children=0","husband.edu=4","husband.occu=1",0.175152749490835
"34","children=0","husband.edu=4","husband.occu=2",0.0957230142566191
"35","children=0","husband.edu=4","husband.occu=3",0.132382892057026
"36","children=0","husband.edu=4","media.expo=0",0.401900882552614
"37","children=0","husband.edu=4","stand.living=3",0.123557365919891
"38","children=0","husband.edu=4","stand.living=4",0.233536999321113
"39","children=0","husband.edu=4","wife.age=0",0.277664630006789
"40","children=0","husband.edu=4","wife.age=1",0.133740665308893
"41","children=0","husband.edu=4","wife.edu=2",0.0454854039375424
"42","children=0","husband.edu=4","wife.edu=3",0.100475220638153
"43","children=0","husband.edu=4","wife.edu=4",0.259334691106585
"44","children=0","husband.edu=4","wife.religion=1",0.323828920570265
"45","children=0","husband.edu=4","wife.working=0",0.116089613034623
"46","children=0","husband.edu=4","wife.working=1",0.295315682281059
"47","children=0","husband.occu=3","media.expo=0",0.233536999321113
"48","children=0","husband.occu=3","stand.living=3",0.0835030549898167
"49","children=0","husband.occu=3","stand.living=4",0.0814663951120163
"50","children=0","husband.occu=3","wife.age=0",0.191446028513238
"51","children=0","husband.occu=3","wife.age=1",0.0590631364562118
"52","children=0","husband.occu=3","wife.edu=2",0.0773930753564155
"53","children=0","husband.occu=3","wife.edu=3",0.0848608282416836
"54","children=0","husband.occu=3","wife.edu=4",0.06653088934148
"55","children=0","husband.occu=3","wife.religion=1",0.21724372029871
"56","children=0","husband.occu=3","wife.working=0",0.0610997963340122
"57","children=0","husband.occu=3","wife.working=1",0.189409368635438
"58","children=0","media.expo=0","stand.living=3",0.173116089613035
"59","children=0","media.expo=0","stand.living=4",0.283095723014257
"60","children=0","media.expo=0","wife.age=0",0.410726408689749
"61","children=0","media.expo=0","wife.age=1",0.173116089613035
"62","children=0","media.expo=0","wife.edu=2",0.119484046164291
"63","children=0","media.expo=0","wife.edu=3",0.1683638832315
"64","children=0","media.expo=0","wife.edu=4",0.26816021724372
"65","children=0","media.expo=0","wife.religion=1",0.48336727766463
"66","children=0","media.expo=0","wife.working=0",0.159538357094365
"67","children=0","media.expo=0","wife.working=1",0.424304141208418
"68","children=0","stand.living=4","wife.age=0",0.169721656483367
"69","children=0","stand.living=4","wife.age=1",0.120841819416158
"70","children=0","stand.living=4","wife.edu=2",0.0420909708078751
"71","children=0","stand.living=4","wife.edu=3",0.0597420230821453
"72","children=0","stand.living=4","wife.edu=4",0.175831636116768
"73","children=0","stand.living=4","wife.religion=1",0.21724372029871
"74","children=0","stand.living=4","wife.working=0",0.0930074677528853
"75","children=0","stand.living=4","wife.working=1",0.19755600814664
"76","children=0","wife.age=0","wife.edu=2",0.10183299389002
"77","children=0","wife.age=0","wife.edu=3",0.138492871690428
"78","children=0","wife.age=0","wife.edu=4",0.169042769857434
"79","children=0","wife.age=0","wife.religion=1",0.382892057026477
"80","children=0","wife.age=0","wife.working=0",0.109300746775289
"81","children=0","wife.age=0","wife.working=1",0.319755600814664
"82","children=0","wife.edu=4","wife.religion=1",0.200271554650373
"83","children=0","wife.edu=4","wife.working=0",0.0896130346232179
"84","children=0","wife.edu=4","wife.working=1",0.181262729124236
"85","children=0","wife.religion=1","wife.working=0",0.133740665308893
"86","children=0","wife.religion=1","wife.working=1",0.379497623896809
"87","children=1","media.expo=0","stand.living=3",0.104548540393754
"88","children=1","media.expo=0","stand.living=4",0.169042769857434
"89","children=1","media.expo=0","wife.age=0",0.0930074677528853
"90","children=1","media.expo=0","wife.age=1",0.249151391717583
"91","children=1","media.expo=0","wife.edu=2",0.088255261371351
"92","children=1","media.expo=0","wife.edu=3",0.0977596741344195
"93","children=1","media.expo=0","wife.edu=4",0.119484046164291
"94","children=1","media.expo=0","wife.religion=1",0.298710115410726
"95","children=1","media.expo=0","wife.working=0",0.0726408689748812
"96","children=1","media.expo=0","wife.working=1",0.269517990495587
"97","children=1","wife.age=1","wife.edu=2",0.0638153428377461
"98","children=1","wife.age=1","wife.edu=3",0.0685675492192804
"99","children=1","wife.age=1","wife.edu=4",0.103190767141887
"100","children=1","wife.age=1","wife.religion=1",0.242362525458248
"101","children=1","wife.age=1","wife.working=0",0.0631364562118126
"102","children=1","wife.age=1","wife.working=1",0.219959266802444
"103","children=1","wife.religion=1","wife.working=0",0.0685675492192804
"104","children=1","wife.religion=1","wife.working=1",0.268839103869654
"105","contraceptive.method=1","husband.edu=4","husband.occu=1",0.0970807875084861
"106","contraceptive.method=1","husband.edu=4","husband.occu=2",0.0563475899524779
"107","contraceptive.method=1","husband.edu=4","husband.occu=3",0.0726408689748812
"108","contraceptive.method=1","husband.edu=4","media.expo=0",0.220638153428377
"109","contraceptive.method=1","husband.edu=4","stand.living=3",0.0726408689748812
"110","contraceptive.method=1","husband.edu=4","stand.living=4",0.114052953156823
"111","contraceptive.method=1","husband.edu=4","wife.age=0",0.13102511880516
"112","contraceptive.method=1","husband.edu=4","wife.age=1",0.098438560760353
"113","contraceptive.method=1","husband.edu=4","wife.edu=2",0.0353021045485404
"114","contraceptive.method=1","husband.edu=4","wife.edu=3",0.0699253224711473
"115","contraceptive.method=1","husband.edu=4","wife.edu=4",0.114052953156823
"116","contraceptive.method=1","husband.edu=4","wife.religion=1",0.188730482009504
"117","contraceptive.method=1","husband.edu=4","wife.working=0",0.0638153428377461
"118","contraceptive.method=1","husband.edu=4","wife.working=1",0.165648336727766
"119","contraceptive.method=1","media.expo=0","stand.living=3",0.113374066530889
"120","contraceptive.method=1","media.expo=0","stand.living=4",0.161575016972166
"121","contraceptive.method=1","media.expo=0","wife.age=0",0.202987101154107
"122","contraceptive.method=1","media.expo=0","wife.age=1",0.173794976238968
"123","contraceptive.method=1","media.expo=0","wife.edu=2",0.107942973523422
"124","contraceptive.method=1","media.expo=0","wife.edu=3",0.111337406653089
"125","contraceptive.method=1","media.expo=0","wife.edu=4",0.11744738628649
"126","contraceptive.method=1","media.expo=0","wife.religion=1",0.328581126951799
"127","contraceptive.method=1","media.expo=0","wife.working=0",0.103190767141887
"128","contraceptive.method=1","media.expo=0","wife.working=1",0.273591310251188
"129","contraceptive.method=1","wife.age=0","wife.edu=2",0.0685675492192804
"130","contraceptive.method=1","wife.age=0","wife.edu=3",0.0685675492192804
"131","contraceptive.method=1","wife.age=0","wife.edu=4",0.0638153428377461
"132","contraceptive.method=1","wife.age=0","wife.religion=1",0.19755600814664
"133","contraceptive.method=1","wife.age=0","wife.working=0",0.0604209097080788
"134","contraceptive.method=1","wife.age=0","wife.working=1",0.155465037338764
"135","contraceptive.method=1","wife.age=1","wife.edu=2",0.0509164969450102
"136","contraceptive.method=1","wife.age=1","wife.edu=3",0.0502376103190767
"137","contraceptive.method=1","wife.age=1","wife.edu=4",0.054989816700611
"138","contraceptive.method=1","wife.age=1","wife.religion=1",0.178547182620502
"139","contraceptive.method=1","wife.age=1","wife.working=0",0.054989816700611
"140","contraceptive.method=1","wife.age=1","wife.working=1",0.156143923964698
"141","contraceptive.method=1","wife.religion=1","wife.working=0",0.09979633401222
"142","contraceptive.method=1","wife.religion=1","wife.working=1",0.276306856754922
"143","contraceptive.method=2","media.expo=0","stand.living=3",0.0590631364562118
"144","contraceptive.method=2","media.expo=0","stand.living=4",0.136456211812627
"145","contraceptive.method=2","media.expo=0","wife.age=0",0.0862186014935506
"146","contraceptive.method=2","media.expo=0","wife.age=1",0.13306177868296
"147","contraceptive.method=2","media.expo=0","wife.edu=2",0.0224032586558045
"148","contraceptive.method=2","media.expo=0","wife.edu=3",0.0522742701968771
"149","contraceptive.method=2","media.expo=0","wife.edu=4",0.140529531568228
"150","contraceptive.method=2","media.expo=0","wife.religion=1",0.1683638832315
"151","contraceptive.method=2","media.expo=0","wife.working=0",0.0577053632043449
"152","contraceptive.method=2","media.expo=0","wife.working=1",0.161575016972166
"153","contraceptive.method=3","husband.edu=4","husband.occu=1",0.0780719619823489
"154","contraceptive.method=3","husband.edu=4","husband.occu=2",0.0488798370672098
"155","contraceptive.method=3","husband.edu=4","husband.occu=3",0.076714188730482
"156","contraceptive.method=3","husband.edu=4","media.expo=0",0.20162932790224
"157","contraceptive.method=3","husband.edu=4","stand.living=3",0.0583842498302783
"158","contraceptive.method=3","husband.edu=4","stand.living=4",0.123557365919891
"159","contraceptive.method=3","husband.edu=4","wife.age=0",0.123557365919891
"160","contraceptive.method=3","husband.edu=4","wife.age=1",0.0828241683638832
"161","contraceptive.method=3","husband.edu=4","wife.edu=2",0.0264765784114053
"162","contraceptive.method=3","husband.edu=4","wife.edu=3",0.0556687033265445
"163","contraceptive.method=3","husband.edu=4","wife.edu=4",0.120841819416158
"164","contraceptive.method=3","husband.edu=4","wife.religion=1",0.170400543109301
"165","contraceptive.method=3","husband.edu=4","wife.working=0",0.0441276306856755
"166","contraceptive.method=3","husband.edu=4","wife.working=1",0.162253903598099
"167","contraceptive.method=3","media.expo=0","stand.living=3",0.105227427019688
"168","contraceptive.method=3","media.expo=0","stand.living=4",0.154107264086897
"169","contraceptive.method=3","media.expo=0","wife.age=0",0.214528173794976
"170","contraceptive.method=3","media.expo=0","wife.age=1",0.11541072640869
"171","contraceptive.method=3","media.expo=0","wife.edu=2",0.0773930753564155
"172","contraceptive.method=3","media.expo=0","wife.edu=3",0.102511880515954
"173","contraceptive.method=3","media.expo=0","wife.edu=4",0.129667345553293
"174","contraceptive.method=3","media.expo=0","wife.religion=1",0.285132382892057
"175","contraceptive.method=3","media.expo=0","wife.working=0",0.0712830957230143
"176","contraceptive.method=3","media.expo=0","wife.working=1",0.258655804480652
"177","contraceptive.method=3","wife.age=0","wife.edu=2",0.0563475899524779
"178","contraceptive.method=3","wife.age=0","wife.edu=3",0.0780719619823489
"179","contraceptive.method=3","wife.age=0","wife.edu=4",0.0726408689748812
"180","contraceptive.method=3","wife.age=0","wife.religion=1",0.204344874405974
"181","contraceptive.method=3","wife.age=0","wife.working=0",0.0414120841819416
"182","contraceptive.method=3","wife.age=0","wife.working=1",0.182620502376103
"183","contraceptive.method=3","wife.religion=1","wife.working=0",0.0590631364562118
"184","contraceptive.method=3","wife.religion=1","wife.working=1",0.241004752206382
"185","husband.edu=3","media.expo=0","stand.living=3",0.0699253224711473
"186","husband.edu=3","media.expo=0","stand.living=4",0.0739986422267481
"187","husband.edu=3","media.expo=0","wife.age=0",0.128309572301426
"188","husband.edu=3","media.expo=0","wife.age=1",0.0923285811269518
"189","husband.edu=3","media.expo=0","wife.edu=2",0.0835030549898167
"190","husband.edu=3","media.expo=0","wife.edu=3",0.098438560760353
"191","husband.edu=3","media.expo=0","wife.edu=4",0.0190088255261371
"192","husband.edu=3","media.expo=0","wife.religion=1",0.204344874405974
"193","husband.edu=3","media.expo=0","wife.working=0",0.0543109300746775
"194","husband.edu=3","media.expo=0","wife.working=1",0.1663272233537
"195","husband.edu=3","wife.religion=1","wife.working=0",0.0522742701968771
"196","husband.edu=3","wife.religion=1","wife.working=1",0.1683638832315
"197","husband.edu=4","husband.occu=1","media.expo=0",0.263408010862186
"198","husband.edu=4","husband.occu=1","stand.living=3",0.0644942294636796
"199","husband.edu=4","husband.occu=1","stand.living=4",0.189409368635438
"200","husband.edu=4","husband.occu=1","wife.age=0",0.120841819416158
"201","husband.edu=4","husband.occu=1","wife.age=1",0.150033944331297
"202","husband.edu=4","husband.occu=1","wife.edu=2",0.0142566191446029
"203","husband.edu=4","husband.occu=1","wife.edu=3",0.0454854039375424
"204","husband.edu=4","husband.occu=1","wife.edu=4",0.207060420909708
"205","husband.edu=4","husband.occu=1","wife.religion=1",0.223353699932111
"206","husband.edu=4","husband.occu=1","wife.working=0",0.0706042090970808
"207","husband.edu=4","husband.occu=1","wife.working=1",0.200271554650373
"208","husband.edu=4","media.expo=0","stand.living=3",0.174473862864902
"209","husband.edu=4","media.expo=0","stand.living=4",0.346232179226069
"210","husband.edu=4","media.expo=0","wife.age=0",0.314324507807196
"211","husband.edu=4","media.expo=0","wife.age=1",0.278343516632722
"212","husband.edu=4","media.expo=0","wife.edu=2",0.0672097759674134
"213","husband.edu=4","media.expo=0","wife.edu=3",0.150033944331297
"214","husband.edu=4","media.expo=0","wife.edu=4",0.365241004752206
"215","husband.edu=4","media.expo=0","wife.religion=1",0.471826205023761
"216","husband.edu=4","media.expo=0","wife.working=0",0.149355057705363
"217","husband.edu=4","media.expo=0","wife.working=1",0.443312966734555
"218","husband.edu=4","stand.living=4","wife.age=0",0.154107264086897
"219","husband.edu=4","stand.living=4","wife.age=1",0.198913781398506
"220","husband.edu=4","stand.living=4","wife.edu=2",0.0312287847929396
"221","husband.edu=4","stand.living=4","wife.edu=3",0.0644942294636796
"222","husband.edu=4","stand.living=4","wife.edu=4",0.253903598099117
"223","husband.edu=4","stand.living=4","wife.religion=1",0.261371350984386
"224","husband.edu=4","stand.living=4","wife.working=0",0.101154107264087
"225","husband.edu=4","stand.living=4","wife.working=1",0.251866938221317
"226","husband.edu=4","wife.age=0","wife.edu=2",0.0468431771894094
"227","husband.edu=4","wife.age=0","wife.edu=3",0.0950441276306857
"228","husband.edu=4","wife.age=0","wife.edu=4",0.175831636116768
"229","husband.edu=4","wife.age=0","wife.religion=1",0.277664630006789
"230","husband.edu=4","wife.age=0","wife.working=0",0.0848608282416836
"231","husband.edu=4","wife.age=0","wife.working=1",0.237610319076714
"232","husband.edu=4","wife.age=1","wife.edu=2",0.0237610319076714
"233","husband.edu=4","wife.age=1","wife.edu=3",0.0604209097080788
"234","husband.edu=4","wife.age=1","wife.edu=4",0.193482688391039
"235","husband.edu=4","wife.age=1","wife.religion=1",0.208418194161575
"236","husband.edu=4","wife.age=1","wife.working=0",0.0692464358452139
"237","husband.edu=4","wife.age=1","wife.working=1",0.218601493550577
"238","husband.edu=4","wife.edu=4","wife.religion=1",0.274949083503055
"239","husband.edu=4","wife.edu=4","wife.working=0",0.108621860149355
"240","husband.edu=4","wife.edu=4","wife.working=1",0.260692464358452
"241","husband.edu=4","wife.religion=1","wife.working=0",0.11541072640869
"242","husband.edu=4","wife.religion=1","wife.working=1",0.370672097759674
"243","husband.occu=1","media.expo=0","stand.living=3",0.0719619823489477
"244","husband.occu=1","media.expo=0","stand.living=4",0.194840461642906
"245","husband.occu=1","media.expo=0","wife.age=0",0.122199592668024
"246","husband.occu=1","media.expo=0","wife.age=1",0.164969450101833
"247","husband.occu=1","media.expo=0","wife.edu=2",0.0196877121520706
"248","husband.occu=1","media.expo=0","wife.edu=3",0.0522742701968771
"249","husband.occu=1","media.expo=0","wife.edu=4",0.209097080787508
"250","husband.occu=1","media.expo=0","wife.religion=1",0.238968092328581
"251","husband.occu=1","media.expo=0","wife.working=0",0.0739986422267481
"252","husband.occu=1","media.expo=0","wife.working=1",0.213170400543109
"253","husband.occu=1","wife.edu=4","wife.religion=1",0.1663272233537
"254","husband.occu=1","wife.edu=4","wife.working=0",0.0610997963340122
"255","husband.occu=1","wife.edu=4","wife.working=1",0.150033944331297
"256","husband.occu=1","wife.religion=1","wife.working=0",0.0604209097080788
"257","husband.occu=1","wife.religion=1","wife.working=1",0.186693822131704
"258","husband.occu=2","media.expo=0","stand.living=3",0.076714188730482
"259","husband.occu=2","media.expo=0","stand.living=4",0.127630685675492
"260","husband.occu=2","media.expo=0","wife.age=0",0.142566191446029
"261","husband.occu=2","media.expo=0","wife.age=1",0.121520706042091
"262","husband.occu=2","media.expo=0","wife.edu=2",0.0685675492192804
"263","husband.occu=2","media.expo=0","wife.edu=3",0.0862186014935506
"264","husband.occu=2","media.expo=0","wife.edu=4",0.0896130346232179
"265","husband.occu=2","media.expo=0","wife.religion=1",0.207060420909708
"266","husband.occu=2","media.expo=0","wife.working=0",0.0719619823489477
"267","husband.occu=2","media.expo=0","wife.working=1",0.192124915139172
"268","husband.occu=2","wife.religion=1","wife.working=0",0.0577053632043449
"269","husband.occu=2","wife.religion=1","wife.working=1",0.172437202987101
"270","husband.occu=3","media.expo=0","stand.living=3",0.126272912423625
"271","husband.occu=3","media.expo=0","stand.living=4",0.122199592668024
"272","husband.occu=3","media.expo=0","wife.age=0",0.228784792939579
"273","husband.occu=3","media.expo=0","wife.age=1",0.131704005431093
"274","husband.occu=3","media.expo=0","wife.edu=2",0.113374066530889
"275","husband.occu=3","media.expo=0","wife.edu=3",0.124915139171758
"276","husband.occu=3","media.expo=0","wife.edu=4",0.086897488119484
"277","husband.occu=3","media.expo=0","wife.religion=1",0.323150033944331
"278","husband.occu=3","media.expo=0","wife.working=0",0.0801086218601494
"279","husband.occu=3","media.expo=0","wife.working=1",0.280380176510523
"280","husband.occu=3","wife.age=0","wife.edu=2",0.0828241683638832
"281","husband.occu=3","wife.age=0","wife.edu=3",0.0889341479972845
"282","husband.occu=3","wife.age=0","wife.edu=4",0.0502376103190767
"283","husband.occu=3","wife.age=0","wife.religion=1",0.230142566191446
"284","husband.occu=3","wife.age=0","wife.working=0",0.0488798370672098
"285","husband.occu=3","wife.age=0","wife.working=1",0.192803801765105
"286","husband.occu=3","wife.religion=1","wife.working=0",0.0773930753564155
"287","husband.occu=3","wife.religion=1","wife.working=1",0.279022403258656
"288","media.expo=0","stand.living=3","wife.age=0",0.1663272233537
"289","media.expo=0","stand.living=3","wife.age=1",0.111337406653089
"290","media.expo=0","stand.living=3","wife.edu=2",0.06653088934148
"291","media.expo=0","stand.living=3","wife.edu=3",0.0936863543788187
"292","media.expo=0","stand.living=3","wife.edu=4",0.0977596741344195
"293","media.expo=0","stand.living=3","wife.religion=1",0.24847250509165
"294","media.expo=0","stand.living=3","wife.working=0",0.0610997963340122
"295","media.expo=0","stand.living=3","wife.working=1",0.216564833672777
"296","media.expo=0","stand.living=4","wife.age=0",0.19959266802444
"297","media.expo=0","stand.living=4","wife.age=1",0.252545824847251
"298","media.expo=0","stand.living=4","wife.edu=2",0.0692464358452139
"299","media.expo=0","stand.living=4","wife.edu=3",0.10183299389002
"300","media.expo=0","stand.living=4","wife.edu=4",0.260692464358452
"301","media.expo=0","stand.living=4","wife.religion=1",0.347589952477936
"302","media.expo=0","stand.living=4","wife.working=0",0.127630685675492
"303","media.expo=0","stand.living=4","wife.working=1",0.324507807196198
"304","media.expo=0","wife.age=0","wife.edu=2",0.126951799049559
"305","media.expo=0","wife.age=0","wife.edu=3",0.167684996605567
"306","media.expo=0","wife.age=0","wife.edu=4",0.184657162253904
"307","media.expo=0","wife.age=0","wife.religion=1",0.45213849287169
"308","media.expo=0","wife.age=0","wife.working=0",0.122878479293958
"309","media.expo=0","wife.age=0","wife.working=1",0.380855397148676
"310","media.expo=0","wife.age=1","wife.edu=2",0.0807875084860828
"311","media.expo=0","wife.age=1","wife.edu=3",0.098438560760353
"312","media.expo=0","wife.age=1","wife.edu=4",0.202987101154107
"313","media.expo=0","wife.age=1","wife.religion=1",0.329938900203666
"314","media.expo=0","wife.age=1","wife.working=0",0.109300746775289
"315","media.expo=0","wife.age=1","wife.working=1",0.312966734555329
"316","media.expo=0","wife.edu=2","wife.religion=1",0.194161575016972
"317","media.expo=0","wife.edu=2","wife.working=0",0.044806517311609
"318","media.expo=0","wife.edu=2","wife.working=1",0.162932790224033
"319","media.expo=0","wife.edu=3","wife.religion=1",0.23285811269518
"320","media.expo=0","wife.edu=3","wife.working=0",0.0570264765784114
"321","media.expo=0","wife.edu=3","wife.working=1",0.209097080787508
"322","media.expo=0","wife.edu=4","wife.religion=1",0.291921249151392
"323","media.expo=0","wife.edu=4","wife.working=0",0.114052953156823
"324","media.expo=0","wife.edu=4","wife.working=1",0.273591310251188
"325","media.expo=0","wife.religion=1","wife.working=0",0.186693822131704
"326","media.expo=0","wife.religion=1","wife.working=1",0.595383570943652
"327","stand.living=3","wife.religion=1","wife.working=0",0.0570264765784114
