"","item1","support"
"2","children=0",0.61642905634759
"21","children=1",0.38357094365241
"3","contraceptive.method=1",0.427019687712152
"4","contraceptive.method=2",0.226069246435845
"5","contraceptive.method=3",0.346911065852003
"6","husband.edu=3",0.238968092328581
"7","husband.edu=4",0.610319076714189
"8","husband.occu=1",0.295994568906993
"9","husband.occu=2",0.288526816021724
"10","husband.occu=3",0.397148676171079
"11","media.expo=0",0.926001357773252
"12","stand.living=2",0.155465037338764
"13","stand.living=3",0.292600135777325
"14","stand.living=4",0.464358452138493
"15","wife.age=0",0.529531568228106
"16","wife.age=1",0.470468431771894
"17","wife.edu=2",0.226748133061779
"18","wife.edu=3",0.278343516632722
"19","wife.edu=4",0.391717583163612
"20","wife.religion=1",0.850644942294637
"211","wife.working=0",0.25050916496945
"22","wife.working=1",0.74949083503055
