"","item1","item2","support"
"2","children=0","contraceptive.method=1",0.286490156143924
"21","children=0","contraceptive.method=3",0.213170400543109
"3","children=0","husband.edu=4",0.411405295315682
"4","children=0","husband.occu=3",0.25050916496945
"5","children=0","media.expo=0",0.583842498302783
"6","children=0","stand.living=4",0.290563475899525
"7","children=0","wife.age=0",0.429056347589952
"8","children=0","wife.edu=4",0.270875763747454
"9","children=0","wife.religion=1",0.513238289205703
"10","children=0","wife.working=1",0.447386286490156
"11","children=1","media.expo=0",0.342158859470468
"12","children=1","wife.age=1",0.283095723014257
"13","children=1","wife.religion=1",0.337406653088934
"14","children=1","wife.working=1",0.302104548540394
"15","contraceptive.method=1","husband.edu=4",0.229463679565513
"16","contraceptive.method=1","media.expo=0",0.376782077393075
"17","contraceptive.method=1","wife.age=0",0.215885947046843
"18","contraceptive.method=1","wife.age=1",0.211133740665309
"19","contraceptive.method=1","wife.religion=1",0.376103190767142
"20","contraceptive.method=1","wife.working=1",0.311608961303462
"211","contraceptive.method=2","media.expo=0",0.219280380176511
"22","contraceptive.method=3","husband.edu=4",0.206381534283775
"23","contraceptive.method=3","media.expo=0",0.329938900203666
"24","contraceptive.method=3","wife.age=0",0.224032586558045
"25","contraceptive.method=3","wife.religion=1",0.300067888662593
"26","contraceptive.method=3","wife.working=1",0.272233536999321
"27","husband.edu=3","media.expo=0",0.220638153428377
"28","husband.edu=3","wife.religion=1",0.220638153428377
"29","husband.edu=4","husband.occu=1",0.270875763747454
"30","husband.edu=4","media.expo=0",0.592668024439919
"31","husband.edu=4","stand.living=4",0.353021045485404
"32","husband.edu=4","wife.age=0",0.322471147318398
"33","husband.edu=4","wife.age=1",0.287847929395791
"34","husband.edu=4","wife.edu=4",0.369314324507807
"35","husband.edu=4","wife.religion=1",0.486082824168364
"36","husband.edu=4","wife.working=1",0.456211812627291
"37","husband.occu=1","media.expo=0",0.287169042769857
"38","husband.occu=1","wife.edu=4",0.211133740665309
"39","husband.occu=1","wife.religion=1",0.247114731839783
"40","husband.occu=1","wife.working=1",0.220638153428377
"41","husband.occu=2","media.expo=0",0.264086897488119
"42","husband.occu=2","wife.religion=1",0.230142566191446
"43","husband.occu=2","wife.working=1",0.210454854039375
"44","husband.occu=3","media.expo=0",0.360488798370672
"45","husband.occu=3","wife.age=0",0.241683638832315
"46","husband.occu=3","wife.religion=1",0.356415478615071
"47","husband.occu=3","wife.working=1",0.307535641547862
"48","media.expo=0","stand.living=3",0.277664630006789
"49","media.expo=0","stand.living=4",0.45213849287169
"50","media.expo=0","wife.age=0",0.503733876442634
"51","media.expo=0","wife.age=1",0.422267481330618
"52","media.expo=0","wife.edu=2",0.207739307535642
"53","media.expo=0","wife.edu=3",0.26612355736592
"54","media.expo=0","wife.edu=4",0.387644263408011
"55","media.expo=0","wife.religion=1",0.782077393075356
"56","media.expo=0","wife.working=0",0.232179226069246
"57","media.expo=0","wife.working=1",0.693822131704005
"58","stand.living=3","wife.religion=1",0.262050237610319
"59","stand.living=3","wife.working=1",0.226069246435845
"60","stand.living=4","wife.age=0",0.204344874405974
"61","stand.living=4","wife.age=1",0.260013577732519
"62","stand.living=4","wife.edu=4",0.262050237610319
"63","stand.living=4","wife.religion=1",0.359131025118805
"64","stand.living=4","wife.working=1",0.3326544467074
"65","wife.age=0","wife.religion=1",0.477936184657162
"66","wife.age=0","wife.working=1",0.401900882552614
"67","wife.age=1","wife.edu=4",0.205023761031908
"68","wife.age=1","wife.religion=1",0.372708757637475
"69","wife.age=1","wife.working=1",0.347589952477936
"70","wife.edu=2","wife.religion=1",0.211812627291242
"71","wife.edu=3","wife.religion=1",0.243041412084182
"72","wife.edu=3","wife.working=1",0.217922606924644
"73","wife.edu=4","wife.religion=1",0.294636795655126
"74","wife.edu=4","wife.working=1",0.276306856754922
"75","wife.religion=1","wife.working=0",0.202308214528174
"76","wife.religion=1","wife.working=1",0.648336727766463
