"","item1","item2","item3","support"
"1","children=0","contraceptive.method=1","media.expo=0",0.26612355736592
"2","children=0","husband.edu=4","media.expo=0",0.401900882552614
"3","children=0","husband.edu=4","wife.age=0",0.277664630006789
"4","children=0","husband.edu=4","wife.edu=4",0.259334691106585
"5","children=0","husband.edu=4","wife.religion=1",0.323828920570265
"6","children=0","husband.edu=4","wife.working=1",0.295315682281059
"7","children=0","media.expo=0","stand.living=4",0.283095723014257
"8","children=0","media.expo=0","wife.age=0",0.410726408689749
"9","children=0","media.expo=0","wife.edu=4",0.26816021724372
"10","children=0","media.expo=0","wife.religion=1",0.48336727766463
"11","children=0","media.expo=0","wife.working=1",0.424304141208418
"12","children=0","wife.age=0","wife.religion=1",0.382892057026477
"13","children=0","wife.age=0","wife.working=1",0.319755600814664
"14","children=0","wife.religion=1","wife.working=1",0.379497623896809
"15","children=1","media.expo=0","wife.religion=1",0.298710115410726
"16","children=1","media.expo=0","wife.working=1",0.269517990495587
"17","children=1","wife.religion=1","wife.working=1",0.268839103869654
"18","contraceptive.method=1","media.expo=0","wife.religion=1",0.328581126951799
"19","contraceptive.method=1","media.expo=0","wife.working=1",0.273591310251188
"20","contraceptive.method=1","wife.religion=1","wife.working=1",0.276306856754922
"21","contraceptive.method=3","media.expo=0","wife.religion=1",0.285132382892057
"22","contraceptive.method=3","media.expo=0","wife.working=1",0.258655804480652
"23","husband.edu=4","husband.occu=1","media.expo=0",0.263408010862186
"24","husband.edu=4","media.expo=0","stand.living=4",0.346232179226069
"25","husband.edu=4","media.expo=0","wife.age=0",0.314324507807196
"26","husband.edu=4","media.expo=0","wife.age=1",0.278343516632722
"27","husband.edu=4","media.expo=0","wife.edu=4",0.365241004752206
"28","husband.edu=4","media.expo=0","wife.religion=1",0.471826205023761
"29","husband.edu=4","media.expo=0","wife.working=1",0.443312966734555
"30","husband.edu=4","stand.living=4","wife.edu=4",0.253903598099117
"31","husband.edu=4","stand.living=4","wife.religion=1",0.261371350984386
"32","husband.edu=4","stand.living=4","wife.working=1",0.251866938221317
"33","husband.edu=4","wife.age=0","wife.religion=1",0.277664630006789
"34","husband.edu=4","wife.edu=4","wife.religion=1",0.274949083503055
"35","husband.edu=4","wife.edu=4","wife.working=1",0.260692464358452
"36","husband.edu=4","wife.religion=1","wife.working=1",0.370672097759674
"37","husband.occu=3","media.expo=0","wife.religion=1",0.323150033944331
"38","husband.occu=3","media.expo=0","wife.working=1",0.280380176510523
"39","husband.occu=3","wife.religion=1","wife.working=1",0.279022403258656
"40","media.expo=0","stand.living=4","wife.age=1",0.252545824847251
"41","media.expo=0","stand.living=4","wife.edu=4",0.260692464358452
"42","media.expo=0","stand.living=4","wife.religion=1",0.347589952477936
"43","media.expo=0","stand.living=4","wife.working=1",0.324507807196198
"44","media.expo=0","wife.age=0","wife.religion=1",0.45213849287169
"45","media.expo=0","wife.age=0","wife.working=1",0.380855397148676
"46","media.expo=0","wife.age=1","wife.religion=1",0.329938900203666
"47","media.expo=0","wife.age=1","wife.working=1",0.312966734555329
"48","media.expo=0","wife.edu=4","wife.religion=1",0.291921249151392
"49","media.expo=0","wife.edu=4","wife.working=1",0.273591310251188
"50","media.expo=0","wife.religion=1","wife.working=1",0.595383570943652
"51","stand.living=4","wife.religion=1","wife.working=1",0.263408010862186
"52","wife.age=0","wife.religion=1","wife.working=1",0.367277664630007
"53","wife.age=1","wife.religion=1","wife.working=1",0.281059063136456
