"","item1","item2","item3","support"
"18","children=0","husband.occu=1","wife.religion=1",0.150033944331297
"19","children=0","husband.occu=2","media.expo=0",0.159538357094365
"27","children=0","media.expo=0","wife.age=1",0.173116089613035
"28","children=0","media.expo=0","wife.edu=3",0.1683638832315
"31","children=0","media.expo=0","wife.working=0",0.159538357094365
"41","children=0","wife.edu=3","wife.religion=1",0.150033944331297
"46","children=1","husband.edu=4","wife.age=1",0.154107264086897
"49","children=1","media.expo=0","stand.living=4",0.169042769857434
"59","contraceptive.method=1","husband.occu=3","media.expo=0",0.150033944331297
"60","contraceptive.method=1","husband.occu=3","wife.religion=1",0.160896130346232
"61","contraceptive.method=1","media.expo=0","stand.living=4",0.161575016972166
"63","contraceptive.method=1","media.expo=0","wife.age=1",0.173794976238968
"67","contraceptive.method=1","wife.age=0","wife.working=1",0.155465037338764
"68","contraceptive.method=1","wife.age=1","wife.religion=1",0.178547182620502
"69","contraceptive.method=1","wife.age=1","wife.working=1",0.156143923964698
"71","contraceptive.method=2","husband.edu=4","media.expo=0",0.170400543109301
"72","contraceptive.method=2","media.expo=0","wife.religion=1",0.1683638832315
"73","contraceptive.method=2","media.expo=0","wife.working=1",0.161575016972166
"77","contraceptive.method=3","husband.occu=3","media.expo=0",0.150033944331297
"78","contraceptive.method=3","media.expo=0","stand.living=4",0.154107264086897
"90","husband.edu=4","husband.occu=1","wife.age=1",0.150033944331297
"100","husband.edu=4","media.expo=0","wife.edu=3",0.150033944331297
"120","husband.occu=1","media.expo=0","wife.age=1",0.164969450101833
"127","husband.occu=1","wife.edu=4","wife.working=1",0.150033944331297
"159","media.expo=0","wife.religion=1","wife.working=0",0.186693822131704
"171","wife.age=0","wife.edu=4","wife.religion=1",0.151391717583164
