"","item1","item2","item3","item4","support"
"2","children=0","contraceptive.method=1","husband.edu=4","media.expo=0",0.169721656483367
"7","children=0","contraceptive.method=3","media.expo=0","wife.age=0",0.159538357094365
"8","children=0","contraceptive.method=3","media.expo=0","wife.religion=1",0.169042769857434
"9","children=0","contraceptive.method=3","media.expo=0","wife.working=1",0.160217243720299
"10","children=0","contraceptive.method=3","wife.age=0","wife.religion=1",0.151391717583164
"11","children=0","husband.edu=4","husband.occu=1","media.expo=0",0.172437202987101
"30","children=0","husband.occu=3","wife.age=0","wife.working=1",0.150033944331297
"32","children=0","media.expo=0","stand.living=3","wife.religion=1",0.151391717583164
"33","children=0","media.expo=0","stand.living=4","wife.age=0",0.165648336727766
"44","children=1","husband.edu=4","media.expo=0","wife.religion=1",0.156143923964698
"45","children=1","husband.edu=4","media.expo=0","wife.working=1",0.153428377460964
"50","contraceptive.method=1","husband.edu=4","media.expo=0","wife.religion=1",0.181262729124236
"51","contraceptive.method=1","husband.edu=4","media.expo=0","wife.working=1",0.158859470468432
"54","contraceptive.method=3","husband.edu=4","media.expo=0","wife.religion=1",0.167006109979633
"55","contraceptive.method=3","husband.edu=4","media.expo=0","wife.working=1",0.158180583842498
"60","husband.edu=3","media.expo=0","wife.religion=1","wife.working=1",0.155465037338764
"66","husband.edu=4","husband.occu=1","stand.living=4","wife.religion=1",0.152070604209097
"69","husband.edu=4","husband.occu=3","media.expo=0","wife.religion=1",0.150033944331297
"70","husband.edu=4","media.expo=0","stand.living=3","wife.religion=1",0.15071283095723
"71","husband.edu=4","media.expo=0","stand.living=4","wife.age=0",0.151391717583164
"93","husband.occu=1","media.expo=0","stand.living=4","wife.religion=1",0.157501697216565
"96","husband.occu=2","media.expo=0","wife.religion=1","wife.working=1",0.154786150712831
"101","media.expo=0","stand.living=3","wife.age=0","wife.religion=1",0.152749490835031
"102","media.expo=0","stand.living=3","wife.religion=1","wife.working=1",0.195519348268839
"103","media.expo=0","stand.living=4","wife.age=0","wife.religion=1",0.1663272233537
"105","media.expo=0","stand.living=4","wife.age=1","wife.religion=1",0.181262729124236
"106","media.expo=0","stand.living=4","wife.age=1","wife.working=1",0.187372708757637
"110","media.expo=0","wife.age=0","wife.edu=3","wife.religion=1",0.154107264086897
"113","media.expo=0","wife.edu=2","wife.religion=1","wife.working=1",0.154107264086897
"114","media.expo=0","wife.edu=3","wife.religion=1","wife.working=1",0.181262729124236
