"","rules","support","lift"
"1","children=0 => wife.age=0","0.429056347589952","1.31443578447984"
"2","wife.age=0 => children=0","0.429056347589952","1.31443578447984"
"3","children=0,media.expo=0 => wife.age=0","0.410726408689749","1.32851073345259"
"4","wife.age=0 => children=0,media.expo=0","0.410726408689749","1.32851073345259"
"5","media.expo=0,wife.age=0 => children=0","0.410726408689749","1.32272136267024"
"6","children=0 => media.expo=0,wife.age=0","0.410726408689749","1.32272136267024"
"7","children=0,wife.religion=1 => wife.age=0","0.382892057026477","1.40885225885226"
"8","wife.age=0 => children=0,wife.religion=1","0.382892057026477","1.40885225885226"
"9","wife.age=0,wife.religion=1 => children=0","0.382892057026477","1.29964081898278"
"10","children=0 => wife.age=0,wife.religion=1","0.382892057026477","1.29964081898278"
"11","husband.edu=4 => wife.edu=4","0.369314324507807","1.54477823424063"
"12","wife.edu=4 => husband.edu=4","0.369314324507807","1.54477823424063"
"13","husband.edu=4,media.expo=0 => wife.edu=4","0.365241004752206","1.57323994830472"
"14","wife.edu=4 => husband.edu=4,media.expo=0","0.365241004752206","1.57323994830472"
"15","media.expo=0,wife.edu=4 => husband.edu=4","0.365241004752206","1.54379355150401"
"16","husband.edu=4 => media.expo=0,wife.edu=4","0.365241004752206","1.54379355150401"
"17","children=0,media.expo=0,wife.religion=1 => wife.age=0","0.364562118126273","1.42430315471046"
"18","wife.age=0 => children=0,media.expo=0,wife.religion=1","0.364562118126273","1.42430315471046"
"19","children=0,wife.religion=1 => media.expo=0,wife.age=0","0.364562118126273","1.41010460788089"
"20","media.expo=0,wife.age=0 => children=0,wife.religion=1","0.364562118126273","1.41010460788089"
"21","media.expo=0,wife.age=0,wife.religion=1 => children=0","0.364562118126273","1.30802774139779"
"22","children=0 => media.expo=0,wife.age=0,wife.religion=1","0.364562118126273","1.30802774139779"
"23","children=0,media.expo=0 => wife.age=0,wife.religion=1","0.364562118126273","1.30648949524313"
"24","wife.age=0,wife.religion=1 => children=0,media.expo=0","0.364562118126273","1.30648949524313"
"25","husband.edu=4,media.expo=0 => stand.living=4","0.346232179226069","1.25806354373907"
"26","stand.living=4 => husband.edu=4,media.expo=0","0.346232179226069","1.25806354373907"
"27","media.expo=0,stand.living=4 => husband.edu=4","0.346232179226069","1.25469741153835"
"28","husband.edu=4 => media.expo=0,stand.living=4","0.346232179226069","1.25469741153835"
"29","children=0,wife.working=1 => wife.age=0","0.319755600814664","1.34971985525855"
"30","wife.age=0 => children=0,wife.working=1","0.319755600814664","1.34971985525855"
"31","wife.age=0,wife.working=1 => children=0","0.319755600814664","1.29067262471723"
"32","children=0 => wife.age=0,wife.working=1","0.319755600814664","1.29067262471723"
"33","children=0,media.expo=0,wife.working=1 => wife.age=0","0.306177868295995","1.36271384615385"
"34","wife.age=0 => children=0,media.expo=0,wife.working=1","0.306177868295995","1.36271384615385"
"35","children=0,wife.working=1 => media.expo=0,wife.age=0","0.306177868295995","1.35859486520866"
"36","media.expo=0,wife.age=0 => children=0,wife.working=1","0.306177868295995","1.35859486520866"
"37","children=0,media.expo=0 => wife.age=0,wife.working=1","0.306177868295995","1.3048456159648"
"38","wife.age=0,wife.working=1 => children=0,media.expo=0","0.306177868295995","1.3048456159648"
"39","media.expo=0,wife.age=0,wife.working=1 => children=0","0.306177868295995","1.30415910857735"
"40","children=0 => media.expo=0,wife.age=0,wife.working=1","0.306177868295995","1.30415910857735"
"41","children=0,wife.religion=1,wife.working=1 => wife.age=0","0.289884589273591","1.44252786569423"
"42","wife.age=0 => children=0,wife.religion=1,wife.working=1","0.289884589273591","1.44252786569423"
"43","children=0,wife.religion=1 => wife.age=0,wife.working=1","0.289884589273591","1.40535848348348"
"44","wife.age=0,wife.working=1 => children=0,wife.religion=1","0.289884589273591","1.40535848348348"
"45","children=0,wife.working=1 => wife.age=0,wife.religion=1","0.289884589273591","1.35572794523383"
"46","wife.age=0,wife.religion=1 => children=0,wife.working=1","0.289884589273591","1.35572794523383"
"47","wife.age=0,wife.religion=1,wife.working=1 => children=0","0.289884589273591","1.28040543291506"
"48","children=0 => wife.age=0,wife.religion=1,wife.working=1","0.289884589273591","1.28040543291506"
"49","children=1 => wife.age=1","0.283095723014257","1.56876221124009"
"50","wife.age=1 => children=1","0.283095723014257","1.56876221124009"
"51","husband.edu=4,wife.age=0 => children=0","0.277664630006789","1.3968397866914"
"52","children=0 => husband.edu=4,wife.age=0","0.277664630006789","1.3968397866914"
"53","children=0,husband.edu=4 => wife.age=0","0.277664630006789","1.27455572480325"
"54","wife.age=0 => children=0,husband.edu=4","0.277664630006789","1.27455572480325"
"55","wife.edu=4,wife.religion=1 => husband.edu=4","0.274949083503055","1.52900303973181"
"56","husband.edu=4 => wife.edu=4,wife.religion=1","0.274949083503055","1.52900303973181"
"57","husband.edu=4,wife.religion=1 => wife.edu=4","0.274949083503055","1.44400578991702"
"58","wife.edu=4 => husband.edu=4,wife.religion=1","0.274949083503055","1.44400578991702"
"59","husband.edu=4,media.expo=0 => wife.edu=4,wife.religion=1","0.272233536999321","1.55898934232822"
"60","wife.edu=4,wife.religion=1 => husband.edu=4,media.expo=0","0.272233536999321","1.55898934232822"
"61","media.expo=0,wife.edu=4,wife.religion=1 => husband.edu=4","0.272233536999321","1.52798458235248"
"62","husband.edu=4 => media.expo=0,wife.edu=4,wife.religion=1","0.272233536999321","1.52798458235248"
"63","husband.edu=4,media.expo=0,wife.religion=1 => wife.edu=4","0.272233536999321","1.47294490231039"
"64","wife.edu=4 => husband.edu=4,media.expo=0,wife.religion=1","0.272233536999321","1.47294490231039"
"65","husband.edu=4,wife.religion=1 => media.expo=0,wife.edu=4","0.272233536999321","1.44476758406794"
"66","media.expo=0,wife.edu=4 => husband.edu=4,wife.religion=1","0.272233536999321","1.44476758406794"
"67","children=0,media.expo=0 => husband.edu=4,wife.age=0","0.271554650373388","1.44235006119951"
"68","husband.edu=4,wife.age=0 => children=0,media.expo=0","0.271554650373388","1.44235006119951"
"69","husband.edu=4,media.expo=0,wife.age=0 => children=0","0.271554650373388","1.40150902465248"
"70","children=0 => husband.edu=4,media.expo=0,wife.age=0","0.271554650373388","1.40150902465248"
"71","children=0,husband.edu=4 => media.expo=0,wife.age=0","0.271554650373388","1.31034666808999"
"72","media.expo=0,wife.age=0 => children=0,husband.edu=4","0.271554650373388","1.31034666808999"
"73","children=0,husband.edu=4,media.expo=0 => wife.age=0","0.271554650373388","1.27598752598753"
"74","wife.age=0 => children=0,husband.edu=4,media.expo=0","0.271554650373388","1.27598752598753"
"75","husband.edu=4 => husband.occu=1","0.270875763747454","1.49944127521915"
"76","husband.occu=1 => husband.edu=4","0.270875763747454","1.49944127521915"
"77","husband.occu=1,media.expo=0 => husband.edu=4","0.263408010862186","1.50291498039587"
"78","husband.edu=4 => husband.occu=1,media.expo=0","0.263408010862186","1.50291498039587"
"79","husband.edu=4,media.expo=0 => husband.occu=1","0.263408010862186","1.50152905198777"
"80","husband.occu=1 => husband.edu=4,media.expo=0","0.263408010862186","1.50152905198777"
"81","stand.living=4 => wife.edu=4","0.262050237610319","1.44064884915929"
"82","wife.edu=4 => stand.living=4","0.262050237610319","1.44064884915929"
"83","wife.edu=4,wife.working=1 => husband.edu=4","0.260692464358452","1.54589456480446"
"84","husband.edu=4 => wife.edu=4,wife.working=1","0.260692464358452","1.54589456480446"
"85","media.expo=0,stand.living=4 => wife.edu=4","0.260692464358452","1.47191905944072"
"86","wife.edu=4 => media.expo=0,stand.living=4","0.260692464358452","1.47191905944072"
"87","husband.edu=4,wife.working=1 => wife.edu=4","0.260692464358452","1.45877692498143"
"88","wife.edu=4 => husband.edu=4,wife.working=1","0.260692464358452","1.45877692498143"
"89","media.expo=0,wife.edu=4 => stand.living=4","0.260692464358452","1.44824407779519"
"90","stand.living=4 => media.expo=0,wife.edu=4","0.260692464358452","1.44824407779519"
"91","children=0,husband.edu=4 => wife.edu=4","0.259334691106585","1.60922834051169"
"92","wife.edu=4 => children=0,husband.edu=4","0.259334691106585","1.60922834051169"
"93","children=0,wife.edu=4 => husband.edu=4","0.259334691106585","1.56867697608872"
"94","husband.edu=4 => children=0,wife.edu=4","0.259334691106585","1.56867697608872"
"95","husband.edu=4,media.expo=0 => wife.edu=4,wife.working=1","0.257976917854718","1.57535229700178"
"96","wife.edu=4,wife.working=1 => husband.edu=4,media.expo=0","0.257976917854718","1.57535229700178"
"97","media.expo=0,wife.edu=4,wife.working=1 => husband.edu=4","0.257976917854718","1.54497553112502"
"98","husband.edu=4 => media.expo=0,wife.edu=4,wife.working=1","0.257976917854718","1.54497553112502"
"99","husband.edu=4,media.expo=0,wife.working=1 => wife.edu=4","0.257976917854718","1.48558446418477"
