"","item1","item2","item3","item4","item5","support"
"1","children=0","contraceptive.method=1","media.expo=0","wife.age=0","wife.religion=1",0.161575016972166
"2","children=0","contraceptive.method=1","media.expo=0","wife.age=0","wife.working=1",0.126272912423625
"3","children=0","contraceptive.method=1","media.expo=0","wife.religion=1","wife.working=1",0.156822810590631
"4","children=0","contraceptive.method=3","media.expo=0","wife.age=0","wife.religion=1",0.142566191446029
"5","children=0","contraceptive.method=3","media.expo=0","wife.age=0","wife.working=1",0.128988458927359
"6","children=0","contraceptive.method=3","media.expo=0","wife.religion=1","wife.working=1",0.138492871690428
"7","children=0","husband.edu=4","media.expo=0","stand.living=4","wife.age=0",0.13102511880516
"8","children=0","husband.edu=4","media.expo=0","stand.living=4","wife.edu=4",0.171758316361168
"9","children=0","husband.edu=4","media.expo=0","stand.living=4","wife.religion=1",0.1642905634759
"10","children=0","husband.edu=4","media.expo=0","stand.living=4","wife.working=1",0.156822810590631
"11","children=0","husband.edu=4","media.expo=0","wife.age=0","wife.edu=4",0.159538357094365
"12","children=0","husband.edu=4","media.expo=0","wife.age=0","wife.religion=1",0.230142566191446
"13","children=0","husband.edu=4","media.expo=0","wife.age=0","wife.working=1",0.196198234894773
"14","children=0","husband.edu=4","media.expo=0","wife.edu=4","wife.religion=1",0.189409368635438
"15","children=0","husband.edu=4","media.expo=0","wife.edu=4","wife.working=1",0.172437202987101
"16","children=0","husband.edu=4","media.expo=0","wife.religion=1","wife.working=1",0.23082145281738
"17","children=0","husband.edu=4","stand.living=4","wife.edu=4","wife.religion=1",0.121520706042091
"18","children=0","husband.edu=4","stand.living=4","wife.edu=4","wife.working=1",0.114731839782756
"19","children=0","husband.edu=4","stand.living=4","wife.religion=1","wife.working=1",0.11541072640869
"20","children=0","husband.edu=4","wife.age=0","wife.edu=4","wife.religion=1",0.126951799049559
"21","children=0","husband.edu=4","wife.age=0","wife.edu=4","wife.working=1",0.108621860149355
"22","children=0","husband.edu=4","wife.age=0","wife.religion=1","wife.working=1",0.173794976238968
"23","children=0","husband.edu=4","wife.edu=4","wife.religion=1","wife.working=1",0.13102511880516
"24","children=0","husband.occu=3","media.expo=0","wife.age=0","wife.religion=1",0.171079429735234
"25","children=0","husband.occu=3","media.expo=0","wife.age=0","wife.working=1",0.143245078071962
"26","children=0","husband.occu=3","media.expo=0","wife.religion=1","wife.working=1",0.156822810590631
"27","children=0","husband.occu=3","wife.age=0","wife.religion=1","wife.working=1",0.141887304820095
"28","children=0","media.expo=0","stand.living=4","wife.age=0","wife.edu=4",0.0930074677528853
"29","children=0","media.expo=0","stand.living=4","wife.age=0","wife.religion=1",0.13509843856076
"30","children=0","media.expo=0","stand.living=4","wife.age=0","wife.working=1",0.109979633401222
"31","children=0","media.expo=0","stand.living=4","wife.edu=4","wife.religion=1",0.121520706042091
"32","children=0","media.expo=0","stand.living=4","wife.edu=4","wife.working=1",0.116768499660557
"33","children=0","media.expo=0","stand.living=4","wife.religion=1","wife.working=1",0.144602851323829
"34","children=0","media.expo=0","wife.age=0","wife.edu=4","wife.religion=1",0.13306177868296
"35","children=0","media.expo=0","wife.age=0","wife.edu=4","wife.working=1",0.113374066530889
"36","children=0","media.expo=0","wife.age=0","wife.religion=1","wife.working=1",0.276306856754922
"37","children=0","media.expo=0","wife.edu=4","wife.religion=1","wife.working=1",0.13509843856076
"38","children=1","husband.edu=4","media.expo=0","wife.religion=1","wife.working=1",0.128988458927359
"39","children=1","media.expo=0","wife.age=1","wife.religion=1","wife.working=1",0.1683638832315
"40","contraceptive.method=1","husband.edu=4","media.expo=0","wife.religion=1","wife.working=1",0.129667345553293
"41","contraceptive.method=3","husband.edu=4","media.expo=0","wife.religion=1","wife.working=1",0.13509843856076
"42","contraceptive.method=3","media.expo=0","wife.age=0","wife.religion=1","wife.working=1",0.160896130346232
"43","husband.edu=4","husband.occu=1","media.expo=0","stand.living=4","wife.edu=4",0.156143923964698
"44","husband.edu=4","husband.occu=1","media.expo=0","stand.living=4","wife.religion=1",0.14867617107943
"45","husband.edu=4","husband.occu=1","media.expo=0","stand.living=4","wife.working=1",0.13509843856076
"46","husband.edu=4","husband.occu=1","media.expo=0","wife.edu=4","wife.religion=1",0.161575016972166
"47","husband.edu=4","husband.occu=1","media.expo=0","wife.edu=4","wife.working=1",0.145281737949762
"48","husband.edu=4","husband.occu=1","media.expo=0","wife.religion=1","wife.working=1",0.162253903598099
"49","husband.edu=4","husband.occu=1","stand.living=4","wife.edu=4","wife.religion=1",0.122199592668024
"50","husband.edu=4","media.expo=0","stand.living=4","wife.age=0","wife.edu=4",0.09979633401222
"51","husband.edu=4","media.expo=0","stand.living=4","wife.age=0","wife.religion=1",0.120841819416158
"52","husband.edu=4","media.expo=0","stand.living=4","wife.age=0","wife.working=1",0.102511880515954
"53","husband.edu=4","media.expo=0","stand.living=4","wife.age=1","wife.edu=4",0.152749490835031
"54","husband.edu=4","media.expo=0","stand.living=4","wife.age=1","wife.religion=1",0.134419551934827
"55","husband.edu=4","media.expo=0","stand.living=4","wife.age=1","wife.working=1",0.144602851323829
"56","husband.edu=4","media.expo=0","stand.living=4","wife.edu=4","wife.religion=1",0.177868295994569
"57","husband.edu=4","media.expo=0","stand.living=4","wife.edu=4","wife.working=1",0.175831636116768
"58","husband.edu=4","media.expo=0","stand.living=4","wife.religion=1","wife.working=1",0.186014935505771
"59","husband.edu=4","media.expo=0","wife.age=0","wife.edu=4","wife.religion=1",0.139171758316361
"60","husband.edu=4","media.expo=0","wife.age=0","wife.edu=4","wife.working=1",0.11744738628649
"61","husband.edu=4","media.expo=0","wife.age=0","wife.religion=1","wife.working=1",0.202308214528174
"62","husband.edu=4","media.expo=0","wife.age=1","wife.edu=4","wife.religion=1",0.13306177868296
"63","husband.edu=4","media.expo=0","wife.age=1","wife.edu=4","wife.working=1",0.140529531568228
"64","husband.edu=4","media.expo=0","wife.age=1","wife.religion=1","wife.working=1",0.157501697216565
"65","husband.edu=4","media.expo=0","wife.edu=4","wife.religion=1","wife.working=1",0.198913781398506
"66","husband.edu=4","stand.living=4","wife.edu=4","wife.religion=1","wife.working=1",0.128309572301426
"67","husband.occu=1","media.expo=0","stand.living=4","wife.edu=4","wife.religion=1",0.124236252545825
"68","husband.occu=3","media.expo=0","wife.age=0","wife.religion=1","wife.working=1",0.173794976238968
"69","media.expo=0","stand.living=4","wife.age=1","wife.edu=4","wife.religion=1",0.109300746775289
"70","media.expo=0","stand.living=4","wife.age=1","wife.edu=4","wife.working=1",0.118126272912424
"71","media.expo=0","stand.living=4","wife.age=1","wife.religion=1","wife.working=1",0.137135098438561
"72","media.expo=0","stand.living=4","wife.edu=4","wife.religion=1","wife.working=1",0.132382892057026
