"","item1","item2","item3","support"
"2","children=0","contraceptive.method=1","media.expo=0",0.26612355736592
"21","children=0","contraceptive.method=1","wife.religion=1",0.246435845213849
"3","children=0","contraceptive.method=3","media.expo=0",0.202987101154107
"4","children=0","husband.edu=4","media.expo=0",0.401900882552614
"5","children=0","husband.edu=4","stand.living=4",0.233536999321113
"6","children=0","husband.edu=4","wife.age=0",0.277664630006789
"7","children=0","husband.edu=4","wife.edu=4",0.259334691106585
"8","children=0","husband.edu=4","wife.religion=1",0.323828920570265
"9","children=0","husband.edu=4","wife.working=1",0.295315682281059
"10","children=0","husband.occu=3","media.expo=0",0.233536999321113
"11","children=0","husband.occu=3","wife.religion=1",0.21724372029871
"12","children=0","media.expo=0","stand.living=4",0.283095723014257
"13","children=0","media.expo=0","wife.age=0",0.410726408689749
"14","children=0","media.expo=0","wife.edu=4",0.26816021724372
"15","children=0","media.expo=0","wife.religion=1",0.48336727766463
"16","children=0","media.expo=0","wife.working=1",0.424304141208418
"17","children=0","stand.living=4","wife.religion=1",0.21724372029871
"18","children=0","wife.age=0","wife.religion=1",0.382892057026477
"19","children=0","wife.age=0","wife.working=1",0.319755600814664
"20","children=0","wife.edu=4","wife.religion=1",0.200271554650373
"211","children=0","wife.religion=1","wife.working=1",0.379497623896809
"22","children=1","media.expo=0","wife.age=1",0.249151391717583
"23","children=1","media.expo=0","wife.religion=1",0.298710115410726
"24","children=1","media.expo=0","wife.working=1",0.269517990495587
"25","children=1","wife.age=1","wife.religion=1",0.242362525458248
"26","children=1","wife.age=1","wife.working=1",0.219959266802444
"27","children=1","wife.religion=1","wife.working=1",0.268839103869654
"28","contraceptive.method=1","husband.edu=4","media.expo=0",0.220638153428377
"29","contraceptive.method=1","media.expo=0","wife.age=0",0.202987101154107
"30","contraceptive.method=1","media.expo=0","wife.religion=1",0.328581126951799
"31","contraceptive.method=1","media.expo=0","wife.working=1",0.273591310251188
"32","contraceptive.method=1","wife.religion=1","wife.working=1",0.276306856754922
"33","contraceptive.method=3","husband.edu=4","media.expo=0",0.20162932790224
"34","contraceptive.method=3","media.expo=0","wife.age=0",0.214528173794976
"35","contraceptive.method=3","media.expo=0","wife.religion=1",0.285132382892057
"36","contraceptive.method=3","media.expo=0","wife.working=1",0.258655804480652
"37","contraceptive.method=3","wife.age=0","wife.religion=1",0.204344874405974
"38","contraceptive.method=3","wife.religion=1","wife.working=1",0.241004752206382
"39","husband.edu=3","media.expo=0","wife.religion=1",0.204344874405974
"40","husband.edu=4","husband.occu=1","media.expo=0",0.263408010862186
"41","husband.edu=4","husband.occu=1","wife.edu=4",0.207060420909708
"42","husband.edu=4","husband.occu=1","wife.religion=1",0.223353699932111
"43","husband.edu=4","husband.occu=1","wife.working=1",0.200271554650373
"44","husband.edu=4","media.expo=0","stand.living=4",0.346232179226069
"45","husband.edu=4","media.expo=0","wife.age=0",0.314324507807196
"46","husband.edu=4","media.expo=0","wife.age=1",0.278343516632722
"47","husband.edu=4","media.expo=0","wife.edu=4",0.365241004752206
"48","husband.edu=4","media.expo=0","wife.religion=1",0.471826205023761
"49","husband.edu=4","media.expo=0","wife.working=1",0.443312966734555
"50","husband.edu=4","stand.living=4","wife.edu=4",0.253903598099117
"51","husband.edu=4","stand.living=4","wife.religion=1",0.261371350984386
"52","husband.edu=4","stand.living=4","wife.working=1",0.251866938221317
"53","husband.edu=4","wife.age=0","wife.religion=1",0.277664630006789
"54","husband.edu=4","wife.age=0","wife.working=1",0.237610319076714
"55","husband.edu=4","wife.age=1","wife.religion=1",0.208418194161575
"56","husband.edu=4","wife.age=1","wife.working=1",0.218601493550577
"57","husband.edu=4","wife.edu=4","wife.religion=1",0.274949083503055
"58","husband.edu=4","wife.edu=4","wife.working=1",0.260692464358452
"59","husband.edu=4","wife.religion=1","wife.working=1",0.370672097759674
"60","husband.occu=1","media.expo=0","wife.edu=4",0.209097080787508
"61","husband.occu=1","media.expo=0","wife.religion=1",0.238968092328581
"62","husband.occu=1","media.expo=0","wife.working=1",0.213170400543109
"63","husband.occu=2","media.expo=0","wife.religion=1",0.207060420909708
"64","husband.occu=3","media.expo=0","wife.age=0",0.228784792939579
"65","husband.occu=3","media.expo=0","wife.religion=1",0.323150033944331
"66","husband.occu=3","media.expo=0","wife.working=1",0.280380176510523
"67","husband.occu=3","wife.age=0","wife.religion=1",0.230142566191446
"68","husband.occu=3","wife.religion=1","wife.working=1",0.279022403258656
"69","media.expo=0","stand.living=3","wife.religion=1",0.24847250509165
"70","media.expo=0","stand.living=3","wife.working=1",0.216564833672777
"71","media.expo=0","stand.living=4","wife.age=1",0.252545824847251
"72","media.expo=0","stand.living=4","wife.edu=4",0.260692464358452
"73","media.expo=0","stand.living=4","wife.religion=1",0.347589952477936
"74","media.expo=0","stand.living=4","wife.working=1",0.324507807196198
"75","media.expo=0","wife.age=0","wife.religion=1",0.45213849287169
"76","media.expo=0","wife.age=0","wife.working=1",0.380855397148676
"77","media.expo=0","wife.age=1","wife.edu=4",0.202987101154107
"78","media.expo=0","wife.age=1","wife.religion=1",0.329938900203666
"79","media.expo=0","wife.age=1","wife.working=1",0.312966734555329
"80","media.expo=0","wife.edu=3","wife.religion=1",0.23285811269518
"81","media.expo=0","wife.edu=3","wife.working=1",0.209097080787508
"82","media.expo=0","wife.edu=4","wife.religion=1",0.291921249151392
"83","media.expo=0","wife.edu=4","wife.working=1",0.273591310251188
"84","media.expo=0","wife.religion=1","wife.working=1",0.595383570943652
"85","stand.living=3","wife.religion=1","wife.working=1",0.205023761031908
"86","stand.living=4","wife.religion=1","wife.working=1",0.263408010862186
"87","wife.age=0","wife.religion=1","wife.working=1",0.367277664630007
"88","wife.age=1","wife.religion=1","wife.working=1",0.281059063136456
"89","wife.edu=4","wife.religion=1","wife.working=1",0.214528173794976
