"","item1","item2","item3","item4","support"
"2","children=0","contraceptive.method=1","media.expo=0","wife.religion=1",0.226748133061779
"21","children=0","husband.edu=4","media.expo=0","stand.living=4",0.228784792939579
"3","children=0","husband.edu=4","media.expo=0","wife.age=0",0.271554650373388
"4","children=0","husband.edu=4","media.expo=0","wife.edu=4",0.256619144602851
"5","children=0","husband.edu=4","media.expo=0","wife.religion=1",0.315682281059063
"6","children=0","husband.edu=4","media.expo=0","wife.working=1",0.289884589273591
"7","children=0","husband.edu=4","wife.age=0","wife.religion=1",0.236252545824847
"8","children=0","husband.edu=4","wife.age=0","wife.working=1",0.200271554650373
"9","children=0","husband.edu=4","wife.religion=1","wife.working=1",0.236252545824847
"10","children=0","husband.occu=3","media.expo=0","wife.religion=1",0.202308214528174
"11","children=0","media.expo=0","stand.living=4","wife.religion=1",0.210454854039375
"12","children=0","media.expo=0","wife.age=0","wife.religion=1",0.364562118126273
"13","children=0","media.expo=0","wife.age=0","wife.working=1",0.306177868295995
"14","children=0","media.expo=0","wife.religion=1","wife.working=1",0.357094365241005
"15","children=0","wife.age=0","wife.religion=1","wife.working=1",0.289884589273591
"16","children=1","media.expo=0","wife.age=1","wife.religion=1",0.211133740665309
"17","children=1","media.expo=0","wife.religion=1","wife.working=1",0.238289205702648
"18","contraceptive.method=1","media.expo=0","wife.religion=1","wife.working=1",0.239646978954515
"19","contraceptive.method=3","media.expo=0","wife.religion=1","wife.working=1",0.228784792939579
"20","husband.edu=4","husband.occu=1","media.expo=0","wife.edu=4",0.205023761031908
"211","husband.edu=4","husband.occu=1","media.expo=0","wife.religion=1",0.216564833672777
"22","husband.edu=4","media.expo=0","stand.living=4","wife.edu=4",0.252545824847251
"23","husband.edu=4","media.expo=0","stand.living=4","wife.religion=1",0.255261371350984
"24","husband.edu=4","media.expo=0","stand.living=4","wife.working=1",0.247114731839783
"25","husband.edu=4","media.expo=0","wife.age=0","wife.religion=1",0.269517990495587
"26","husband.edu=4","media.expo=0","wife.age=0","wife.working=1",0.231500339443313
"27","husband.edu=4","media.expo=0","wife.age=1","wife.religion=1",0.202308214528174
"28","husband.edu=4","media.expo=0","wife.age=1","wife.working=1",0.211812627291242
"29","husband.edu=4","media.expo=0","wife.edu=4","wife.religion=1",0.272233536999321
"30","husband.edu=4","media.expo=0","wife.edu=4","wife.working=1",0.257976917854718
"31","husband.edu=4","media.expo=0","wife.religion=1","wife.working=1",0.359809911744739
"32","husband.edu=4","wife.age=0","wife.religion=1","wife.working=1",0.208418194161575
"33","husband.edu=4","wife.edu=4","wife.religion=1","wife.working=1",0.200950441276307
"34","husband.occu=3","media.expo=0","wife.age=0","wife.religion=1",0.21724372029871
"35","husband.occu=3","media.expo=0","wife.religion=1","wife.working=1",0.253224711473184
"36","media.expo=0","stand.living=4","wife.religion=1","wife.working=1",0.255261371350984
"37","media.expo=0","wife.age=0","wife.religion=1","wife.working=1",0.346232179226069
"38","media.expo=0","wife.age=1","wife.religion=1","wife.working=1",0.249151391717583
"39","media.expo=0","wife.edu=4","wife.religion=1","wife.working=1",0.212491513917176
