"","item1","item2","item3","item4","support"
"1","children=0","husband.edu=4","media.expo=0","wife.age=0",0.271554650373388
"2","children=0","husband.edu=4","media.expo=0","wife.edu=4",0.256619144602851
"3","children=0","husband.edu=4","media.expo=0","wife.religion=1",0.315682281059063
"4","children=0","husband.edu=4","media.expo=0","wife.working=1",0.289884589273591
"5","children=0","media.expo=0","wife.age=0","wife.religion=1",0.364562118126273
"6","children=0","media.expo=0","wife.age=0","wife.working=1",0.306177868295995
"7","children=0","media.expo=0","wife.religion=1","wife.working=1",0.357094365241005
"8","children=0","wife.age=0","wife.religion=1","wife.working=1",0.289884589273591
"9","husband.edu=4","media.expo=0","stand.living=4","wife.edu=4",0.252545824847251
"10","husband.edu=4","media.expo=0","stand.living=4","wife.religion=1",0.255261371350984
"11","husband.edu=4","media.expo=0","wife.age=0","wife.religion=1",0.269517990495587
"12","husband.edu=4","media.expo=0","wife.edu=4","wife.religion=1",0.272233536999321
"13","husband.edu=4","media.expo=0","wife.edu=4","wife.working=1",0.257976917854718
"14","husband.edu=4","media.expo=0","wife.religion=1","wife.working=1",0.359809911744739
"15","husband.occu=3","media.expo=0","wife.religion=1","wife.working=1",0.253224711473184
"16","media.expo=0","stand.living=4","wife.religion=1","wife.working=1",0.255261371350984
"17","media.expo=0","wife.age=0","wife.religion=1","wife.working=1",0.346232179226069
