"","item1","item2","item3","item4","item5","support"
"1","class=not_recom","finance=convenient","health=not_recom","housing=convenient","parents=great_pret",0.0185185185185185
"2","class=not_recom","finance=convenient","health=not_recom","housing=convenient","parents=pretentious",0.0185185185185185
"3","class=not_recom","finance=convenient","health=not_recom","housing=convenient","parents=usual",0.0185185185185185
"4","class=not_recom","finance=convenient","health=not_recom","housing=convenient","social=nonprob",0.0185185185185185
"5","class=not_recom","finance=convenient","health=not_recom","housing=convenient","social=problematic",0.0185185185185185
"6","class=not_recom","finance=convenient","health=not_recom","housing=convenient","social=slightly_prob",0.0185185185185185
"7","class=not_recom","finance=convenient","health=not_recom","housing=critical","parents=great_pret",0.0185185185185185
"8","class=not_recom","finance=convenient","health=not_recom","housing=critical","parents=pretentious",0.0185185185185185
"9","class=not_recom","finance=convenient","health=not_recom","housing=critical","parents=usual",0.0185185185185185
"10","class=not_recom","finance=convenient","health=not_recom","housing=critical","social=nonprob",0.0185185185185185
"11","class=not_recom","finance=convenient","health=not_recom","housing=critical","social=problematic",0.0185185185185185
"12","class=not_recom","finance=convenient","health=not_recom","housing=critical","social=slightly_prob",0.0185185185185185
"13","class=not_recom","finance=convenient","health=not_recom","housing=less_conv","parents=great_pret",0.0185185185185185
"14","class=not_recom","finance=convenient","health=not_recom","housing=less_conv","parents=pretentious",0.0185185185185185
"15","class=not_recom","finance=convenient","health=not_recom","housing=less_conv","parents=usual",0.0185185185185185
"16","class=not_recom","finance=convenient","health=not_recom","housing=less_conv","social=nonprob",0.0185185185185185
"17","class=not_recom","finance=convenient","health=not_recom","housing=less_conv","social=problematic",0.0185185185185185
"18","class=not_recom","finance=convenient","health=not_recom","housing=less_conv","social=slightly_prob",0.0185185185185185
"19","class=not_recom","finance=convenient","health=not_recom","parents=great_pret","social=nonprob",0.0185185185185185
"20","class=not_recom","finance=convenient","health=not_recom","parents=great_pret","social=problematic",0.0185185185185185
"21","class=not_recom","finance=convenient","health=not_recom","parents=great_pret","social=slightly_prob",0.0185185185185185
"22","class=not_recom","finance=convenient","health=not_recom","parents=pretentious","social=nonprob",0.0185185185185185
"23","class=not_recom","finance=convenient","health=not_recom","parents=pretentious","social=problematic",0.0185185185185185
"24","class=not_recom","finance=convenient","health=not_recom","parents=pretentious","social=slightly_prob",0.0185185185185185
"25","class=not_recom","finance=convenient","health=not_recom","parents=usual","social=nonprob",0.0185185185185185
"26","class=not_recom","finance=convenient","health=not_recom","parents=usual","social=problematic",0.0185185185185185
"27","class=not_recom","finance=convenient","health=not_recom","parents=usual","social=slightly_prob",0.0185185185185185
"28","class=not_recom","finance=inconv","health=not_recom","housing=convenient","parents=great_pret",0.0185185185185185
"29","class=not_recom","finance=inconv","health=not_recom","housing=convenient","parents=pretentious",0.0185185185185185
"30","class=not_recom","finance=inconv","health=not_recom","housing=convenient","parents=usual",0.0185185185185185
"31","class=not_recom","finance=inconv","health=not_recom","housing=convenient","social=nonprob",0.0185185185185185
"32","class=not_recom","finance=inconv","health=not_recom","housing=convenient","social=problematic",0.0185185185185185
"33","class=not_recom","finance=inconv","health=not_recom","housing=convenient","social=slightly_prob",0.0185185185185185
"34","class=not_recom","finance=inconv","health=not_recom","housing=critical","parents=great_pret",0.0185185185185185
"35","class=not_recom","finance=inconv","health=not_recom","housing=critical","parents=pretentious",0.0185185185185185
"36","class=not_recom","finance=inconv","health=not_recom","housing=critical","parents=usual",0.0185185185185185
"37","class=not_recom","finance=inconv","health=not_recom","housing=critical","social=nonprob",0.0185185185185185
"38","class=not_recom","finance=inconv","health=not_recom","housing=critical","social=problematic",0.0185185185185185
"39","class=not_recom","finance=inconv","health=not_recom","housing=critical","social=slightly_prob",0.0185185185185185
"40","class=not_recom","finance=inconv","health=not_recom","housing=less_conv","parents=great_pret",0.0185185185185185
"41","class=not_recom","finance=inconv","health=not_recom","housing=less_conv","parents=pretentious",0.0185185185185185
"42","class=not_recom","finance=inconv","health=not_recom","housing=less_conv","parents=usual",0.0185185185185185
"43","class=not_recom","finance=inconv","health=not_recom","housing=less_conv","social=nonprob",0.0185185185185185
"44","class=not_recom","finance=inconv","health=not_recom","housing=less_conv","social=problematic",0.0185185185185185
"45","class=not_recom","finance=inconv","health=not_recom","housing=less_conv","social=slightly_prob",0.0185185185185185
"46","class=not_recom","finance=inconv","health=not_recom","parents=great_pret","social=nonprob",0.0185185185185185
"47","class=not_recom","finance=inconv","health=not_recom","parents=great_pret","social=problematic",0.0185185185185185
"48","class=not_recom","finance=inconv","health=not_recom","parents=great_pret","social=slightly_prob",0.0185185185185185
"49","class=not_recom","finance=inconv","health=not_recom","parents=pretentious","social=nonprob",0.0185185185185185
"50","class=not_recom","finance=inconv","health=not_recom","parents=pretentious","social=problematic",0.0185185185185185
"51","class=not_recom","finance=inconv","health=not_recom","parents=pretentious","social=slightly_prob",0.0185185185185185
"52","class=not_recom","finance=inconv","health=not_recom","parents=usual","social=nonprob",0.0185185185185185
"53","class=not_recom","finance=inconv","health=not_recom","parents=usual","social=problematic",0.0185185185185185
"54","class=not_recom","finance=inconv","health=not_recom","parents=usual","social=slightly_prob",0.0185185185185185
