"","item1","item2","item3","support"
"1","class=not_recom","finance=convenient","form=complete",0.0416666666666667
"2","class=not_recom","finance=convenient","form=completed",0.0416666666666667
"3","class=not_recom","finance=convenient","form=foster",0.0416666666666667
"4","class=not_recom","finance=convenient","form=incomplete",0.0416666666666667
"5","class=not_recom","finance=convenient","has_nurs=critical",0.0333333333333333
"6","class=not_recom","finance=convenient","has_nurs=improper",0.0333333333333333
"7","class=not_recom","finance=convenient","has_nurs=less_proper",0.0333333333333333
"8","class=not_recom","finance=convenient","has_nurs=proper",0.0333333333333333
"9","class=not_recom","finance=convenient","has_nurs=very_crit",0.0333333333333333
"10","class=not_recom","finance=convenient","health=not_recom",0.166666666666667
"11","class=not_recom","finance=convenient","health=priority",0
"12","class=not_recom","finance=convenient","health=recommended",0
"13","class=not_recom","finance=convenient","housing=convenient",0.0555555555555556
"14","class=not_recom","finance=convenient","housing=critical",0.0555555555555556
"15","class=not_recom","finance=convenient","housing=less_conv",0.0555555555555556
"16","class=not_recom","finance=convenient","parents=great_pret",0.0555555555555556
"17","class=not_recom","finance=convenient","parents=pretentious",0.0555555555555556
"18","class=not_recom","finance=convenient","parents=usual",0.0555555555555556
"19","class=not_recom","finance=convenient","social=nonprob",0.0555555555555556
"20","class=not_recom","finance=convenient","social=problematic",0.0555555555555556
"21","class=not_recom","finance=convenient","social=slightly_prob",0.0555555555555556
"22","class=not_recom","finance=inconv","form=complete",0.0416666666666667
"23","class=not_recom","finance=inconv","form=completed",0.0416666666666667
"24","class=not_recom","finance=inconv","form=foster",0.0416666666666667
"25","class=not_recom","finance=inconv","form=incomplete",0.0416666666666667
"26","class=not_recom","finance=inconv","has_nurs=critical",0.0333333333333333
"27","class=not_recom","finance=inconv","has_nurs=improper",0.0333333333333333
"28","class=not_recom","finance=inconv","has_nurs=less_proper",0.0333333333333333
"29","class=not_recom","finance=inconv","has_nurs=proper",0.0333333333333333
"30","class=not_recom","finance=inconv","has_nurs=very_crit",0.0333333333333333
"31","class=not_recom","finance=inconv","health=not_recom",0.166666666666667
"32","class=not_recom","finance=inconv","health=priority",0
"33","class=not_recom","finance=inconv","health=recommended",0
"34","class=not_recom","finance=inconv","housing=convenient",0.0555555555555556
"35","class=not_recom","finance=inconv","housing=critical",0.0555555555555556
"36","class=not_recom","finance=inconv","housing=less_conv",0.0555555555555556
"37","class=not_recom","finance=inconv","parents=great_pret",0.0555555555555556
"38","class=not_recom","finance=inconv","parents=pretentious",0.0555555555555556
"39","class=not_recom","finance=inconv","parents=usual",0.0555555555555556
"40","class=not_recom","finance=inconv","social=nonprob",0.0555555555555556
"41","class=not_recom","finance=inconv","social=problematic",0.0555555555555556
"42","class=not_recom","finance=inconv","social=slightly_prob",0.0555555555555556
"43","class=not_recom","health=not_recom","housing=convenient",0.111111111111111
"44","class=not_recom","health=not_recom","housing=critical",0.111111111111111
"45","class=not_recom","health=not_recom","housing=less_conv",0.111111111111111
"46","class=not_recom","health=not_recom","parents=great_pret",0.111111111111111
"47","class=not_recom","health=not_recom","parents=pretentious",0.111111111111111
"48","class=not_recom","health=not_recom","parents=usual",0.111111111111111
"49","class=not_recom","health=not_recom","social=nonprob",0.111111111111111
"50","class=not_recom","health=not_recom","social=problematic",0.111111111111111
"51","class=not_recom","health=not_recom","social=slightly_prob",0.111111111111111
"52","class=priority","finance=convenient","form=complete",0.0467592592592593
"53","class=priority","finance=convenient","form=completed",0.0435185185185185
"54","class=priority","finance=convenient","form=foster",0.0407407407407407
"55","class=priority","finance=convenient","form=incomplete",0.0421296296296296
"56","class=priority","finance=convenient","has_nurs=critical",0.0216049382716049
"57","class=priority","finance=convenient","has_nurs=improper",0.0367283950617284
"58","class=priority","finance=convenient","has_nurs=less_proper",0.0518518518518519
"59","class=priority","finance=convenient","has_nurs=proper",0.0518518518518519
"60","class=priority","finance=convenient","has_nurs=very_crit",0.0111111111111111
"61","class=priority","finance=convenient","health=not_recom",0
"62","class=priority","finance=convenient","health=priority",0.0773148148148148
"63","class=priority","finance=convenient","health=recommended",0.0958333333333333
"64","class=priority","finance=convenient","housing=convenient",0.0709876543209877
