"","item1","item2","support"
"2","children=1","finance=convenient",0.125
"21","children=1","finance=inconv",0.125
"3","children=2","finance=convenient",0.125
"4","children=2","finance=inconv",0.125
"5","children=3","finance=convenient",0.125
"6","children=3","finance=inconv",0.125
"7","children=more","finance=convenient",0.125
"8","children=more","finance=inconv",0.125
"11","class=not_recom","health=not_recom",0.333333333333333
"211","class=priority","finance=convenient",0.173148148148148
"22","class=priority","finance=inconv",0.156018518518519
"23","class=priority","has_nurs=less_proper",0.103703703703704
"24","class=priority","has_nurs=proper",0.103703703703704
"25","class=priority","health=priority",0.143055555555556
"26","class=priority","health=recommended",0.186111111111111
"27","class=priority","housing=convenient",0.124845679012346
"28","class=priority","housing=less_conv",0.107716049382716
"29","class=priority","parents=pretentious",0.114506172839506
"30","class=priority","parents=usual",0.148456790123457
"31","class=priority","social=nonprob",0.116898148148148
"32","class=priority","social=slightly_prob",0.116898148148148
"33","class=spec_prior","finance=convenient",0.14320987654321
"34","class=spec_prior","finance=inconv",0.168827160493827
"35","class=spec_prior","has_nurs=very_crit",0.11712962962963
"36","class=spec_prior","health=priority",0.190277777777778
"37","class=spec_prior","health=recommended",0.121759259259259
"38","class=spec_prior","housing=critical",0.124074074074074
"39","class=spec_prior","housing=less_conv",0.10679012345679
"40","class=spec_prior","parents=great_pret",0.156018518518519
"41","class=spec_prior","social=problematic",0.126851851851852
"42","finance=convenient","form=complete",0.125
"43","finance=convenient","form=completed",0.125
"44","finance=convenient","form=foster",0.125
"45","finance=convenient","form=incomplete",0.125
"47","finance=convenient","health=priority",0.166666666666667
"48","finance=convenient","health=recommended",0.166666666666667
"49","finance=convenient","housing=convenient",0.166666666666667
"50","finance=convenient","housing=critical",0.166666666666667
"51","finance=convenient","housing=less_conv",0.166666666666667
"52","finance=convenient","parents=great_pret",0.166666666666667
"53","finance=convenient","parents=pretentious",0.166666666666667
"54","finance=convenient","parents=usual",0.166666666666667
"55","finance=convenient","social=nonprob",0.166666666666667
"56","finance=convenient","social=problematic",0.166666666666667
"57","finance=convenient","social=slightly_prob",0.166666666666667
"58","finance=inconv","form=complete",0.125
"59","finance=inconv","form=completed",0.125
"60","finance=inconv","form=foster",0.125
"61","finance=inconv","form=incomplete",0.125
"63","finance=inconv","health=priority",0.166666666666667
"64","finance=inconv","health=recommended",0.166666666666667
"65","finance=inconv","housing=convenient",0.166666666666667
"66","finance=inconv","housing=critical",0.166666666666667
"67","finance=inconv","housing=less_conv",0.166666666666667
"68","finance=inconv","parents=great_pret",0.166666666666667
"69","finance=inconv","parents=pretentious",0.166666666666667
"70","finance=inconv","parents=usual",0.166666666666667
"71","finance=inconv","social=nonprob",0.166666666666667
"72","finance=inconv","social=problematic",0.166666666666667
"73","finance=inconv","social=slightly_prob",0.166666666666667
"83","health=priority","housing=convenient",0.111111111111111
"84","health=priority","housing=critical",0.111111111111111
"85","health=priority","housing=less_conv",0.111111111111111
"86","health=priority","parents=great_pret",0.111111111111111
"87","health=priority","parents=pretentious",0.111111111111111
"88","health=priority","parents=usual",0.111111111111111
"89","health=priority","social=nonprob",0.111111111111111
"90","health=priority","social=problematic",0.111111111111111
"91","health=priority","social=slightly_prob",0.111111111111111
"92","health=recommended","housing=convenient",0.111111111111111
"93","health=recommended","housing=critical",0.111111111111111
"94","health=recommended","housing=less_conv",0.111111111111111
"95","health=recommended","parents=great_pret",0.111111111111111
"96","health=recommended","parents=pretentious",0.111111111111111
"97","health=recommended","parents=usual",0.111111111111111
"98","health=recommended","social=nonprob",0.111111111111111
"99","health=recommended","social=problematic",0.111111111111111
"100","health=recommended","social=slightly_prob",0.111111111111111
"101","housing=convenient","parents=great_pret",0.111111111111111
"102","housing=convenient","parents=pretentious",0.111111111111111
"103","housing=convenient","parents=usual",0.111111111111111
"104","housing=convenient","social=nonprob",0.111111111111111
"105","housing=convenient","social=problematic",0.111111111111111
"106","housing=convenient","social=slightly_prob",0.111111111111111
"107","housing=critical","parents=great_pret",0.111111111111111
"108","housing=critical","parents=pretentious",0.111111111111111
"109","housing=critical","parents=usual",0.111111111111111
"110","housing=critical","social=nonprob",0.111111111111111
"111","housing=critical","social=problematic",0.111111111111111
"112","housing=critical","social=slightly_prob",0.111111111111111
"113","housing=less_conv","parents=great_pret",0.111111111111111
"114","housing=less_conv","parents=pretentious",0.111111111111111
"115","housing=less_conv","parents=usual",0.111111111111111
"116","housing=less_conv","social=nonprob",0.111111111111111
"117","housing=less_conv","social=problematic",0.111111111111111
"118","housing=less_conv","social=slightly_prob",0.111111111111111
"119","parents=great_pret","social=nonprob",0.111111111111111
"120","parents=great_pret","social=problematic",0.111111111111111
"121","parents=great_pret","social=slightly_prob",0.111111111111111
"122","parents=pretentious","social=nonprob",0.111111111111111
"123","parents=pretentious","social=problematic",0.111111111111111
"124","parents=pretentious","social=slightly_prob",0.111111111111111
"125","parents=usual","social=nonprob",0.111111111111111
"126","parents=usual","social=problematic",0.111111111111111
"127","parents=usual","social=slightly_prob",0.111111111111111
