"","item1","support"
"1","children=1",0.25
"2","children=2",0.25
"3","children=3",0.25
"4","children=more",0.25
"5","class=not_recom",0.333333333333333
"6","class=priority",0.329166666666667
"7","class=spec_prior",0.312037037037037
"8","finance=convenient",0.5
"9","finance=inconv",0.5
"10","form=complete",0.25
"11","form=completed",0.25
"12","form=foster",0.25
"13","form=incomplete",0.25
"14","has_nurs=critical",0.2
"15","has_nurs=improper",0.2
"16","has_nurs=less_proper",0.2
"17","has_nurs=proper",0.2
"18","has_nurs=very_crit",0.2
"19","health=not_recom",0.333333333333333
"20","health=priority",0.333333333333333
"21","health=recommended",0.333333333333333
"22","housing=convenient",0.333333333333333
"23","housing=critical",0.333333333333333
"24","housing=less_conv",0.333333333333333
"25","parents=great_pret",0.333333333333333
"26","parents=pretentious",0.333333333333333
"27","parents=usual",0.333333333333333
"28","social=nonprob",0.333333333333333
"29","social=problematic",0.333333333333333
"30","social=slightly_prob",0.333333333333333
