"","item1","item2","support"
"1","children=1","class=not_recom",0.0833333333333333
"2","children=1","class=priority",0.0930555555555556
"3","children=1","class=spec_prior",0.062037037037037
"4","children=1","finance=convenient",0.125
"5","children=1","finance=inconv",0.125
"6","children=1","form=complete",0.0625
"7","children=1","form=completed",0.0625
"8","children=1","form=foster",0.0625
"9","children=1","form=incomplete",0.0625
"10","children=1","health=not_recom",0.0833333333333333
"11","children=1","health=priority",0.0833333333333333
"12","children=1","health=recommended",0.0833333333333333
"13","children=1","housing=convenient",0.0833333333333333
"14","children=1","housing=critical",0.0833333333333333
"15","children=1","housing=less_conv",0.0833333333333333
"16","children=1","parents=great_pret",0.0833333333333333
"17","children=1","parents=pretentious",0.0833333333333333
"18","children=1","parents=usual",0.0833333333333333
"19","children=1","social=nonprob",0.0833333333333333
"20","children=1","social=problematic",0.0833333333333333
"21","children=1","social=slightly_prob",0.0833333333333333
"22","children=2","class=not_recom",0.0833333333333333
"23","children=2","class=priority",0.0842592592592593
"24","children=2","class=spec_prior",0.0746913580246914
"25","children=2","finance=convenient",0.125
"26","children=2","finance=inconv",0.125
"27","children=2","form=complete",0.0625
"28","children=2","form=completed",0.0625
"29","children=2","form=foster",0.0625
"30","children=2","form=incomplete",0.0625
"31","children=2","health=not_recom",0.0833333333333333
"32","children=2","health=priority",0.0833333333333333
"33","children=2","health=recommended",0.0833333333333333
"34","children=2","housing=convenient",0.0833333333333333
"35","children=2","housing=critical",0.0833333333333333
"36","children=2","housing=less_conv",0.0833333333333333
"37","children=2","parents=great_pret",0.0833333333333333
"38","children=2","parents=pretentious",0.0833333333333333
"39","children=2","parents=usual",0.0833333333333333
"40","children=2","social=nonprob",0.0833333333333333
"41","children=2","social=problematic",0.0833333333333333
"42","children=2","social=slightly_prob",0.0833333333333333
"43","children=3","class=not_recom",0.0833333333333333
"44","children=3","class=priority",0.0759259259259259
"45","children=3","class=spec_prior",0.0876543209876543
"46","children=3","finance=convenient",0.125
"47","children=3","finance=inconv",0.125
"48","children=3","form=complete",0.0625
"49","children=3","form=completed",0.0625
"50","children=3","form=foster",0.0625
"51","children=3","form=incomplete",0.0625
"52","children=3","health=not_recom",0.0833333333333333
"53","children=3","health=priority",0.0833333333333333
"54","children=3","health=recommended",0.0833333333333333
"55","children=3","housing=convenient",0.0833333333333333
"56","children=3","housing=critical",0.0833333333333333
"57","children=3","housing=less_conv",0.0833333333333333
"58","children=3","parents=great_pret",0.0833333333333333
"59","children=3","parents=pretentious",0.0833333333333333
"60","children=3","parents=usual",0.0833333333333333
"61","children=3","social=nonprob",0.0833333333333333
"62","children=3","social=problematic",0.0833333333333333
"63","children=3","social=slightly_prob",0.0833333333333333
"64","children=more","class=not_recom",0.0833333333333333
"65","children=more","class=priority",0.0759259259259259
"66","children=more","class=spec_prior",0.0876543209876543
"67","children=more","finance=convenient",0.125
"68","children=more","finance=inconv",0.125
"69","children=more","form=complete",0.0625
"70","children=more","form=completed",0.0625
"71","children=more","form=foster",0.0625
"72","children=more","form=incomplete",0.0625
"73","children=more","health=not_recom",0.0833333333333333
"74","children=more","health=priority",0.0833333333333333
"75","children=more","health=recommended",0.0833333333333333
"76","children=more","housing=convenient",0.0833333333333333
"77","children=more","housing=critical",0.0833333333333333
"78","children=more","housing=less_conv",0.0833333333333333
"79","children=more","parents=great_pret",0.0833333333333333
"80","children=more","parents=pretentious",0.0833333333333333
"81","children=more","parents=usual",0.0833333333333333
"82","children=more","social=nonprob",0.0833333333333333
"83","children=more","social=problematic",0.0833333333333333
"84","children=more","social=slightly_prob",0.0833333333333333
"85","class=not_recom","finance=convenient",0.166666666666667
"86","class=not_recom","finance=inconv",0.166666666666667
"87","class=not_recom","form=complete",0.0833333333333333
"88","class=not_recom","form=completed",0.0833333333333333
"89","class=not_recom","form=foster",0.0833333333333333
"90","class=not_recom","form=incomplete",0.0833333333333333
"91","class=not_recom","has_nurs=critical",0.0666666666666667
"92","class=not_recom","has_nurs=improper",0.0666666666666667
"93","class=not_recom","has_nurs=less_proper",0.0666666666666667
"94","class=not_recom","has_nurs=proper",0.0666666666666667
"95","class=not_recom","has_nurs=very_crit",0.0666666666666667
"96","class=not_recom","health=not_recom",0.333333333333333
"97","class=not_recom","housing=convenient",0.111111111111111
"98","class=not_recom","housing=critical",0.111111111111111
"99","class=not_recom","housing=less_conv",0.111111111111111
"100","class=not_recom","parents=great_pret",0.111111111111111
"101","class=not_recom","parents=pretentious",0.111111111111111
"102","class=not_recom","parents=usual",0.111111111111111
"103","class=not_recom","social=nonprob",0.111111111111111
"104","class=not_recom","social=problematic",0.111111111111111
"105","class=not_recom","social=slightly_prob",0.111111111111111
"106","class=priority","finance=convenient",0.173148148148148
"107","class=priority","finance=inconv",0.156018518518519
"108","class=priority","form=complete",0.0888888888888889
"109","class=priority","form=completed",0.0842592592592593
"110","class=priority","form=foster",0.0759259259259259
"111","class=priority","form=incomplete",0.0800925925925926
"112","class=priority","has_nurs=improper",0.0697530864197531
"113","class=priority","has_nurs=less_proper",0.103703703703704
"114","class=priority","has_nurs=proper",0.103703703703704
"115","class=priority","health=priority",0.143055555555556
"116","class=priority","health=recommended",0.186111111111111
"117","class=priority","housing=convenient",0.124845679012346
"118","class=priority","housing=critical",0.0966049382716049
"119","class=priority","housing=less_conv",0.107716049382716
"120","class=priority","parents=great_pret",0.0662037037037037
"121","class=priority","parents=pretentious",0.114506172839506
"122","class=priority","parents=usual",0.148456790123457
"123","class=priority","social=nonprob",0.116898148148148
"124","class=priority","social=problematic",0.0953703703703704
"125","class=priority","social=slightly_prob",0.116898148148148
"126","class=spec_prior","finance=convenient",0.14320987654321
"127","class=spec_prior","finance=inconv",0.168827160493827
"128","class=spec_prior","form=complete",0.0685185185185185
"129","class=spec_prior","form=completed",0.0746913580246914
"130","class=spec_prior","form=foster",0.0876543209876543
"131","class=spec_prior","form=incomplete",0.0811728395061728
"132","class=spec_prior","has_nurs=critical",0.0975308641975309
"133","class=spec_prior","has_nurs=improper",0.0584876543209877
"134","class=spec_prior","has_nurs=very_crit",0.11712962962963
"135","class=spec_prior","health=priority",0.190277777777778
"136","class=spec_prior","health=recommended",0.121759259259259
"137","class=spec_prior","housing=convenient",0.0811728395061728
"138","class=spec_prior","housing=critical",0.124074074074074
"139","class=spec_prior","housing=less_conv",0.10679012345679
"140","class=spec_prior","parents=great_pret",0.156018518518519
"141","class=spec_prior","parents=pretentious",0.0975308641975309
"142","class=spec_prior","parents=usual",0.0584876543209877
"143","class=spec_prior","social=nonprob",0.0925925925925926
"144","class=spec_prior","social=problematic",0.126851851851852
"145","class=spec_prior","social=slightly_prob",0.0925925925925926
"146","finance=convenient","form=complete",0.125
"147","finance=convenient","form=completed",0.125
"148","finance=convenient","form=foster",0.125
"149","finance=convenient","form=incomplete",0.125
"150","finance=convenient","has_nurs=critical",0.1
"151","finance=convenient","has_nurs=improper",0.1
"152","finance=convenient","has_nurs=less_proper",0.1
"153","finance=convenient","has_nurs=proper",0.1
"154","finance=convenient","has_nurs=very_crit",0.1
"155","finance=convenient","health=not_recom",0.166666666666667
"156","finance=convenient","health=priority",0.166666666666667
"157","finance=convenient","health=recommended",0.166666666666667
"158","finance=convenient","housing=convenient",0.166666666666667
"159","finance=convenient","housing=critical",0.166666666666667
"160","finance=convenient","housing=less_conv",0.166666666666667
"161","finance=convenient","parents=great_pret",0.166666666666667
"162","finance=convenient","parents=pretentious",0.166666666666667
"163","finance=convenient","parents=usual",0.166666666666667
"164","finance=convenient","social=nonprob",0.166666666666667
"165","finance=convenient","social=problematic",0.166666666666667
"166","finance=convenient","social=slightly_prob",0.166666666666667
"167","finance=inconv","form=complete",0.125
"168","finance=inconv","form=completed",0.125
"169","finance=inconv","form=foster",0.125
"170","finance=inconv","form=incomplete",0.125
"171","finance=inconv","has_nurs=critical",0.1
"172","finance=inconv","has_nurs=improper",0.1
"173","finance=inconv","has_nurs=less_proper",0.1
"174","finance=inconv","has_nurs=proper",0.1
"175","finance=inconv","has_nurs=very_crit",0.1
"176","finance=inconv","health=not_recom",0.166666666666667
"177","finance=inconv","health=priority",0.166666666666667
"178","finance=inconv","health=recommended",0.166666666666667
"179","finance=inconv","housing=convenient",0.166666666666667
"180","finance=inconv","housing=critical",0.166666666666667
"181","finance=inconv","housing=less_conv",0.166666666666667
"182","finance=inconv","parents=great_pret",0.166666666666667
"183","finance=inconv","parents=pretentious",0.166666666666667
"184","finance=inconv","parents=usual",0.166666666666667
"185","finance=inconv","social=nonprob",0.166666666666667
"186","finance=inconv","social=problematic",0.166666666666667
"187","finance=inconv","social=slightly_prob",0.166666666666667
"188","form=complete","health=not_recom",0.0833333333333333
"189","form=complete","health=priority",0.0833333333333333
"190","form=complete","health=recommended",0.0833333333333333
"191","form=complete","housing=convenient",0.0833333333333333
"192","form=complete","housing=critical",0.0833333333333333
"193","form=complete","housing=less_conv",0.0833333333333333
"194","form=complete","parents=great_pret",0.0833333333333333
"195","form=complete","parents=pretentious",0.0833333333333333
"196","form=complete","parents=usual",0.0833333333333333
"197","form=complete","social=nonprob",0.0833333333333333
"198","form=complete","social=problematic",0.0833333333333333
"199","form=complete","social=slightly_prob",0.0833333333333333
"200","form=completed","health=not_recom",0.0833333333333333
"201","form=completed","health=priority",0.0833333333333333
"202","form=completed","health=recommended",0.0833333333333333
"203","form=completed","housing=convenient",0.0833333333333333
"204","form=completed","housing=critical",0.0833333333333333
"205","form=completed","housing=less_conv",0.0833333333333333
