"","item1","item2","support"
"2","children=1","class=priority",0.0930555555555556
"3","children=1","class=spec_prior",0.062037037037037
"4","children=1","finance=convenient",0.125
"5","children=1","finance=inconv",0.125
"6","children=1","form=complete",0.0625
"7","children=1","form=completed",0.0625
"8","children=1","form=foster",0.0625
"9","children=1","form=incomplete",0.0625
"11","children=1","health=priority",0.0833333333333333
"12","children=1","health=recommended",0.0833333333333333
"13","children=1","housing=convenient",0.0833333333333333
"14","children=1","housing=critical",0.0833333333333333
"15","children=1","housing=less_conv",0.0833333333333333
"16","children=1","parents=great_pret",0.0833333333333333
"17","children=1","parents=pretentious",0.0833333333333333
"18","children=1","parents=usual",0.0833333333333333
"19","children=1","social=nonprob",0.0833333333333333
"20","children=1","social=problematic",0.0833333333333333
"21","children=1","social=slightly_prob",0.0833333333333333
"23","children=2","class=priority",0.0842592592592593
"24","children=2","class=spec_prior",0.0746913580246914
"25","children=2","finance=convenient",0.125
"26","children=2","finance=inconv",0.125
"27","children=2","form=complete",0.0625
"28","children=2","form=completed",0.0625
"29","children=2","form=foster",0.0625
"30","children=2","form=incomplete",0.0625
"32","children=2","health=priority",0.0833333333333333
"33","children=2","health=recommended",0.0833333333333333
"34","children=2","housing=convenient",0.0833333333333333
"35","children=2","housing=critical",0.0833333333333333
"36","children=2","housing=less_conv",0.0833333333333333
"37","children=2","parents=great_pret",0.0833333333333333
"38","children=2","parents=pretentious",0.0833333333333333
"39","children=2","parents=usual",0.0833333333333333
"40","children=2","social=nonprob",0.0833333333333333
"41","children=2","social=problematic",0.0833333333333333
"42","children=2","social=slightly_prob",0.0833333333333333
"44","children=3","class=priority",0.0759259259259259
"46","children=3","finance=convenient",0.125
"47","children=3","finance=inconv",0.125
"48","children=3","form=complete",0.0625
"49","children=3","form=completed",0.0625
"50","children=3","form=foster",0.0625
"51","children=3","form=incomplete",0.0625
"54","children=3","health=recommended",0.0833333333333333
"55","children=3","housing=convenient",0.0833333333333333
"56","children=3","housing=critical",0.0833333333333333
"57","children=3","housing=less_conv",0.0833333333333333
"58","children=3","parents=great_pret",0.0833333333333333
"59","children=3","parents=pretentious",0.0833333333333333
"60","children=3","parents=usual",0.0833333333333333
"61","children=3","social=nonprob",0.0833333333333333
"62","children=3","social=problematic",0.0833333333333333
"63","children=3","social=slightly_prob",0.0833333333333333
"65","children=more","class=priority",0.0759259259259259
"67","children=more","finance=convenient",0.125
"68","children=more","finance=inconv",0.125
"69","children=more","form=complete",0.0625
"70","children=more","form=completed",0.0625
"71","children=more","form=foster",0.0625
"72","children=more","form=incomplete",0.0625
"75","children=more","health=recommended",0.0833333333333333
"76","children=more","housing=convenient",0.0833333333333333
"77","children=more","housing=critical",0.0833333333333333
"78","children=more","housing=less_conv",0.0833333333333333
"79","children=more","parents=great_pret",0.0833333333333333
"80","children=more","parents=pretentious",0.0833333333333333
"81","children=more","parents=usual",0.0833333333333333
"82","children=more","social=nonprob",0.0833333333333333
"83","children=more","social=problematic",0.0833333333333333
"84","children=more","social=slightly_prob",0.0833333333333333
"108","class=priority","form=complete",0.0888888888888889
"109","class=priority","form=completed",0.0842592592592593
"110","class=priority","form=foster",0.0759259259259259
"111","class=priority","form=incomplete",0.0800925925925926
"112","class=priority","has_nurs=improper",0.0697530864197531
"128","class=spec_prior","form=complete",0.0685185185185185
"129","class=spec_prior","form=completed",0.0746913580246914
"131","class=spec_prior","form=incomplete",0.0811728395061728
"133","class=spec_prior","has_nurs=improper",0.0584876543209877
"142","class=spec_prior","parents=usual",0.0584876543209877
"146","finance=convenient","form=complete",0.125
"147","finance=convenient","form=completed",0.125
"148","finance=convenient","form=foster",0.125
"149","finance=convenient","form=incomplete",0.125
"150","finance=convenient","has_nurs=critical",0.1
"151","finance=convenient","has_nurs=improper",0.1
"167","finance=inconv","form=complete",0.125
"168","finance=inconv","form=completed",0.125
"169","finance=inconv","form=foster",0.125
"170","finance=inconv","form=incomplete",0.125
"172","finance=inconv","has_nurs=improper",0.1
"189","form=complete","health=priority",0.0833333333333333
"190","form=complete","health=recommended",0.0833333333333333
"191","form=complete","housing=convenient",0.0833333333333333
"192","form=complete","housing=critical",0.0833333333333333
"193","form=complete","housing=less_conv",0.0833333333333333
"194","form=complete","parents=great_pret",0.0833333333333333
"195","form=complete","parents=pretentious",0.0833333333333333
"196","form=complete","parents=usual",0.0833333333333333
"197","form=complete","social=nonprob",0.0833333333333333
"198","form=complete","social=problematic",0.0833333333333333
"199","form=complete","social=slightly_prob",0.0833333333333333
"201","form=completed","health=priority",0.0833333333333333
"202","form=completed","health=recommended",0.0833333333333333
"203","form=completed","housing=convenient",0.0833333333333333
"204","form=completed","housing=critical",0.0833333333333333
"205","form=completed","housing=less_conv",0.0833333333333333
"206","form=completed","parents=great_pret",0.0833333333333333
"207","form=completed","parents=pretentious",0.0833333333333333
"208","form=completed","parents=usual",0.0833333333333333
"209","form=completed","social=nonprob",0.0833333333333333
"210","form=completed","social=problematic",0.0833333333333333
"211","form=completed","social=slightly_prob",0.0833333333333333
"214","form=foster","health=recommended",0.0833333333333333
"215","form=foster","housing=convenient",0.0833333333333333
"216","form=foster","housing=critical",0.0833333333333333
"217","form=foster","housing=less_conv",0.0833333333333333
"218","form=foster","parents=great_pret",0.0833333333333333
"219","form=foster","parents=pretentious",0.0833333333333333
"220","form=foster","parents=usual",0.0833333333333333
"221","form=foster","social=nonprob",0.0833333333333333
"222","form=foster","social=problematic",0.0833333333333333
"223","form=foster","social=slightly_prob",0.0833333333333333
"225","form=incomplete","health=priority",0.0833333333333333
"226","form=incomplete","health=recommended",0.0833333333333333
"227","form=incomplete","housing=convenient",0.0833333333333333
"228","form=incomplete","housing=critical",0.0833333333333333
"229","form=incomplete","housing=less_conv",0.0833333333333333
"230","form=incomplete","parents=great_pret",0.0833333333333333
"231","form=incomplete","parents=pretentious",0.0833333333333333
"232","form=incomplete","parents=usual",0.0833333333333333
"233","form=incomplete","social=nonprob",0.0833333333333333
"234","form=incomplete","social=problematic",0.0833333333333333
"235","form=incomplete","social=slightly_prob",0.0833333333333333
"238","has_nurs=critical","health=recommended",0.0666666666666667
"239","has_nurs=critical","housing=convenient",0.0666666666666667
"240","has_nurs=critical","housing=critical",0.0666666666666667
"241","has_nurs=critical","housing=less_conv",0.0666666666666667
"242","has_nurs=critical","parents=great_pret",0.0666666666666667
"243","has_nurs=critical","parents=pretentious",0.0666666666666667
"244","has_nurs=critical","parents=usual",0.0666666666666667
"245","has_nurs=critical","social=nonprob",0.0666666666666667
"246","has_nurs=critical","social=problematic",0.0666666666666667
"247","has_nurs=critical","social=slightly_prob",0.0666666666666667
"249","has_nurs=improper","health=priority",0.0666666666666667
"250","has_nurs=improper","health=recommended",0.0666666666666667
"251","has_nurs=improper","housing=convenient",0.0666666666666667
"252","has_nurs=improper","housing=critical",0.0666666666666667
"253","has_nurs=improper","housing=less_conv",0.0666666666666667
"254","has_nurs=improper","parents=great_pret",0.0666666666666667
"255","has_nurs=improper","parents=pretentious",0.0666666666666667
"256","has_nurs=improper","parents=usual",0.0666666666666667
"257","has_nurs=improper","social=nonprob",0.0666666666666667
"258","has_nurs=improper","social=problematic",0.0666666666666667
"259","has_nurs=improper","social=slightly_prob",0.0666666666666667
"263","has_nurs=less_proper","housing=convenient",0.0666666666666667
"264","has_nurs=less_proper","housing=critical",0.0666666666666667
"265","has_nurs=less_proper","housing=less_conv",0.0666666666666667
"266","has_nurs=less_proper","parents=great_pret",0.0666666666666667
"267","has_nurs=less_proper","parents=pretentious",0.0666666666666667
"268","has_nurs=less_proper","parents=usual",0.0666666666666667
"269","has_nurs=less_proper","social=nonprob",0.0666666666666667
"270","has_nurs=less_proper","social=problematic",0.0666666666666667
"271","has_nurs=less_proper","social=slightly_prob",0.0666666666666667
"275","has_nurs=proper","housing=convenient",0.0666666666666667
"276","has_nurs=proper","housing=critical",0.0666666666666667
"277","has_nurs=proper","housing=less_conv",0.0666666666666667
"278","has_nurs=proper","parents=great_pret",0.0666666666666667
"279","has_nurs=proper","parents=pretentious",0.0666666666666667
"280","has_nurs=proper","parents=usual",0.0666666666666667
"281","has_nurs=proper","social=nonprob",0.0666666666666667
"282","has_nurs=proper","social=problematic",0.0666666666666667
"283","has_nurs=proper","social=slightly_prob",0.0666666666666667
"287","has_nurs=very_crit","housing=convenient",0.0666666666666667
"288","has_nurs=very_crit","housing=critical",0.0666666666666667
"289","has_nurs=very_crit","housing=less_conv",0.0666666666666667
