"","rules","support","lift"
"1","class=not_recom => health=not_recom","0.333333333333333","3"
"2","health=not_recom => class=not_recom","0.333333333333333","3"
"3","class=spec_prior => health=priority","0.190277777777778","1.82937685459941"
"4","health=priority => class=spec_prior","0.190277777777778","1.82937685459941"
"5","class=priority => health=recommended","0.186111111111111","1.69620253164557"
"6","health=recommended => class=priority","0.186111111111111","1.69620253164557"
"7","class=not_recom,finance=convenient => health=not_recom","0.166666666666667","3"
"8","finance=convenient,health=not_recom => class=not_recom","0.166666666666667","3"
"9","class=not_recom => finance=convenient,health=not_recom","0.166666666666667","3"
"10","health=not_recom => class=not_recom,finance=convenient","0.166666666666667","3"
"11","class=not_recom,finance=inconv => health=not_recom","0.166666666666667","3"
"12","finance=inconv,health=not_recom => class=not_recom","0.166666666666667","3"
"13","class=not_recom => finance=inconv,health=not_recom","0.166666666666667","3"
"14","health=not_recom => class=not_recom,finance=inconv","0.166666666666667","3"
"15","class=spec_prior => parents=great_pret","0.156018518518519","1.5"
"16","parents=great_pret => class=spec_prior","0.156018518518519","1.5"
