"","item1","item2","item3","item4","support"
"1","class=not_recom","finance=convenient","health=not_recom","housing=convenient",0.0555555555555556
"2","class=not_recom","finance=convenient","health=not_recom","housing=critical",0.0555555555555556
"3","class=not_recom","finance=convenient","health=not_recom","housing=less_conv",0.0555555555555556
"4","class=not_recom","finance=convenient","health=not_recom","parents=great_pret",0.0555555555555556
"5","class=not_recom","finance=convenient","health=not_recom","parents=pretentious",0.0555555555555556
"6","class=not_recom","finance=convenient","health=not_recom","parents=usual",0.0555555555555556
"7","class=not_recom","finance=convenient","health=not_recom","social=nonprob",0.0555555555555556
"8","class=not_recom","finance=convenient","health=not_recom","social=problematic",0.0555555555555556
"9","class=not_recom","finance=convenient","health=not_recom","social=slightly_prob",0.0555555555555556
"10","class=not_recom","finance=convenient","housing=convenient","parents=great_pret",0.0185185185185185
"11","class=not_recom","finance=convenient","housing=convenient","parents=pretentious",0.0185185185185185
"12","class=not_recom","finance=convenient","housing=convenient","parents=usual",0.0185185185185185
"13","class=not_recom","finance=convenient","housing=convenient","social=nonprob",0.0185185185185185
"14","class=not_recom","finance=convenient","housing=convenient","social=problematic",0.0185185185185185
"15","class=not_recom","finance=convenient","housing=convenient","social=slightly_prob",0.0185185185185185
"16","class=not_recom","finance=convenient","housing=critical","parents=great_pret",0.0185185185185185
"17","class=not_recom","finance=convenient","housing=critical","parents=pretentious",0.0185185185185185
"18","class=not_recom","finance=convenient","housing=critical","parents=usual",0.0185185185185185
"19","class=not_recom","finance=convenient","housing=critical","social=nonprob",0.0185185185185185
"20","class=not_recom","finance=convenient","housing=critical","social=problematic",0.0185185185185185
"21","class=not_recom","finance=convenient","housing=critical","social=slightly_prob",0.0185185185185185
"22","class=not_recom","finance=convenient","housing=less_conv","parents=great_pret",0.0185185185185185
"23","class=not_recom","finance=convenient","housing=less_conv","parents=pretentious",0.0185185185185185
"24","class=not_recom","finance=convenient","housing=less_conv","parents=usual",0.0185185185185185
"25","class=not_recom","finance=convenient","housing=less_conv","social=nonprob",0.0185185185185185
"26","class=not_recom","finance=convenient","housing=less_conv","social=problematic",0.0185185185185185
"27","class=not_recom","finance=convenient","housing=less_conv","social=slightly_prob",0.0185185185185185
"28","class=not_recom","finance=convenient","parents=great_pret","social=nonprob",0.0185185185185185
"29","class=not_recom","finance=convenient","parents=great_pret","social=problematic",0.0185185185185185
"30","class=not_recom","finance=convenient","parents=great_pret","social=slightly_prob",0.0185185185185185
