"","item1","item2","item3","support"
"1","class=not_recom","finance=convenient","health=not_recom",0.166666666666667
"2","class=not_recom","finance=convenient","housing=convenient",0.0555555555555556
"3","class=not_recom","finance=convenient","housing=critical",0.0555555555555556
"4","class=not_recom","finance=convenient","housing=less_conv",0.0555555555555556
"5","class=not_recom","finance=convenient","parents=great_pret",0.0555555555555556
"6","class=not_recom","finance=convenient","parents=pretentious",0.0555555555555556
"7","class=not_recom","finance=convenient","parents=usual",0.0555555555555556
"8","class=not_recom","finance=convenient","social=nonprob",0.0555555555555556
"9","class=not_recom","finance=convenient","social=problematic",0.0555555555555556
"10","class=not_recom","finance=convenient","social=slightly_prob",0.0555555555555556
"11","class=not_recom","finance=inconv","health=not_recom",0.166666666666667
"12","class=not_recom","finance=inconv","housing=convenient",0.0555555555555556
"13","class=not_recom","finance=inconv","housing=critical",0.0555555555555556
"14","class=not_recom","finance=inconv","housing=less_conv",0.0555555555555556
"15","class=not_recom","finance=inconv","parents=great_pret",0.0555555555555556
"16","class=not_recom","finance=inconv","parents=pretentious",0.0555555555555556
"17","class=not_recom","finance=inconv","parents=usual",0.0555555555555556
"18","class=not_recom","finance=inconv","social=nonprob",0.0555555555555556
"19","class=not_recom","finance=inconv","social=problematic",0.0555555555555556
"20","class=not_recom","finance=inconv","social=slightly_prob",0.0555555555555556
"21","class=not_recom","health=not_recom","housing=convenient",0.111111111111111
"22","class=not_recom","health=not_recom","housing=critical",0.111111111111111
"23","class=not_recom","health=not_recom","housing=less_conv",0.111111111111111
"24","class=not_recom","health=not_recom","parents=great_pret",0.111111111111111
"25","class=not_recom","health=not_recom","parents=pretentious",0.111111111111111
"26","class=not_recom","health=not_recom","parents=usual",0.111111111111111
"27","class=not_recom","health=not_recom","social=nonprob",0.111111111111111
"28","class=not_recom","health=not_recom","social=problematic",0.111111111111111
"29","class=not_recom","health=not_recom","social=slightly_prob",0.111111111111111
"30","class=not_recom","housing=convenient","parents=great_pret",0.037037037037037
"31","class=not_recom","housing=convenient","parents=pretentious",0.037037037037037
"32","class=not_recom","housing=convenient","parents=usual",0.037037037037037
"33","class=not_recom","housing=convenient","social=nonprob",0.037037037037037
"34","class=not_recom","housing=convenient","social=problematic",0.037037037037037
"35","class=not_recom","housing=convenient","social=slightly_prob",0.037037037037037
"36","class=not_recom","housing=critical","parents=great_pret",0.037037037037037
"37","class=not_recom","housing=critical","parents=pretentious",0.037037037037037
"38","class=not_recom","housing=critical","parents=usual",0.037037037037037
"39","class=not_recom","housing=critical","social=nonprob",0.037037037037037
"40","class=not_recom","housing=critical","social=problematic",0.037037037037037
"41","class=not_recom","housing=critical","social=slightly_prob",0.037037037037037
"42","class=not_recom","housing=less_conv","parents=great_pret",0.037037037037037
"43","class=not_recom","housing=less_conv","parents=pretentious",0.037037037037037
"44","class=not_recom","housing=less_conv","parents=usual",0.037037037037037
"45","class=not_recom","housing=less_conv","social=nonprob",0.037037037037037
"46","class=not_recom","housing=less_conv","social=problematic",0.037037037037037
"47","class=not_recom","housing=less_conv","social=slightly_prob",0.037037037037037
