"","item1","support"
"1","children=1",0.25
"2","children=2",0.25
"3","children=3",0.25
"4","children=more",0.25
"5","class=not_recom",0.333333333333333
"6","class=priority",0.329166666666667
"7","class=recommend",0.000154320987654321
"8","class=spec_prior",0.312037037037037
"9","class=very_recom",0.0253086419753086
"10","finance=convenient",0.5
"11","finance=inconv",0.5
"12","form=complete",0.25
"13","form=completed",0.25
"14","form=foster",0.25
"15","form=incomplete",0.25
"16","has_nurs=critical",0.2
"17","has_nurs=improper",0.2
"18","has_nurs=less_proper",0.2
"19","has_nurs=proper",0.2
"20","has_nurs=very_crit",0.2
"21","health=not_recom",0.333333333333333
"22","health=priority",0.333333333333333
"23","health=recommended",0.333333333333333
"24","housing=convenient",0.333333333333333
"25","housing=critical",0.333333333333333
"26","housing=less_conv",0.333333333333333
"27","parents=great_pret",0.333333333333333
"28","parents=pretentious",0.333333333333333
"29","parents=usual",0.333333333333333
"30","social=nonprob",0.333333333333333
"31","social=problematic",0.333333333333333
"32","social=slightly_prob",0.333333333333333
